BINARY is int Datatype
BINARY is diagnoses ObjectProperty
BINARY Domain diagnoses DiagnosticProcess
BINARY Range diagnoses Disease_or_PathologicalFormation
BINARY is measures ObjectProperty
BINARY SubPropertyOf measures reveals
BINARY is reveals ObjectProperty
BINARY Domain reveals DiagnosticProcess
BINARY Range reveals Quality_or_ProcessualEntity
BINARY is undertakenBy ObjectProperty
BINARY is hasPart ObjectProperty
BINARY is revealsNumberOfLungMetastases DataProperty
BINARY Domain revealsNumberOfLungMetastases DiagnosticProcess
BINARY Range revealsNumberOfLungMetastases int
BINARY is Audiometry Class
BINARY SubClassOf Audiometry DiagnosticProcess
BINARY is Autopsy Class
BINARY SubClassOf Autopsy DiagnosticProcess
BINARY is Biopsy Class
BINARY SubClassOf Biopsy DiagnosticProcess
BINARY is BiopsyWithoutIncision Class
BINARY is BloodPressureMeasuringProcess Class
BINARY SubClassOf BloodPressureMeasuringProcess DiagnosticProcess
BINARY is BoneScintigraphy Class
BINARY SubClassOf BoneScintigraphy Scintigraphy
BINARY is CellCounting Class
BINARY SubClassOf CellCounting DiagnosticProcess
BINARY is CerebrospinalLiquidPuncture Class
BINARY SubClassOf CerebrospinalLiquidPuncture DiagnosticProcess
BINARY is ClinicalExamination Class
BINARY SubClassOf ClinicalExamination DiagnosticProcess
BINARY is ConeBiopsy Class
BINARY SubClassOf ConeBiopsy BiopsyWithoutIncision
BINARY DisjointWith ConeBiopsy TrucutBiopsy
BINARY DisjointWith ConeBiopsy SurfaceBiopsy
BINARY DisjointWith ConeBiopsy PunchBiopsy
BINARY DisjointWith ConeBiopsy FineNeedleBiopsy
BINARY DisjointWith ConeBiopsy EndoscopicBiopsy
BINARY DisjointWith ConeBiopsy CoreNeedleBiopsy
BINARY is CoreNeedleBiopsy Class
BINARY SubClassOf CoreNeedleBiopsy BiopsyWithoutIncision
BINARY DisjointWith CoreNeedleBiopsy TrucutBiopsy
BINARY DisjointWith CoreNeedleBiopsy SurfaceBiopsy
BINARY DisjointWith CoreNeedleBiopsy PunchBiopsy
BINARY DisjointWith CoreNeedleBiopsy FineNeedleBiopsy
BINARY DisjointWith CoreNeedleBiopsy EndoscopicBiopsy
BINARY DisjointWith CoreNeedleBiopsy ConeBiopsy
BINARY is CytogeneticExamination Class
BINARY SubClassOf CytogeneticExamination DiagnosticProcess
BINARY is CytologicalExamination Class
BINARY SubClassOf CytologicalExamination DiagnosticProcess
BINARY is DCIS Class
BINARY SubClassOf DCIS NonInvasiveMammaryCarcinoma
BINARY DisjointWith DCIS PagetNippleTumor
BINARY DisjointWith DCIS LCIS
BINARY is DiagnosticProcess Class
BINARY SubClassOf DiagnosticProcess MedicalProcess,
BINARY SubClassOf DiagnosticProcess undertakenBy_some_HumanBeing,
BINARY SubClassOf DiagnosticProcess hasPart_some
BINARY SubClassOf DiagnosticProcess (Autopsy_or_ClinicalExamination_or_CytologicalExamination_or_HematologicalBiochemicalTest_or_HistologicalExamination_or_ImmunohistochemicalExamination_or_Process)
BINARY DisjointWith DiagnosticProcess TherapeuticProcess
BINARY is Disease Class
BINARY is DrashProcess Class
BINARY SubClassOf DrashProcess SyndromeProcess
BINARY is ECG Class
BINARY SubClassOf ECG DiagnosticProcess
BINARY is Echocardiography Class
BINARY SubClassOf Echocardiography Ultrasound,
BINARY SubClassOf Echocardiography reveals_some_LVEF
BINARY is EndoscopicBiopsy Class
BINARY SubClassOf EndoscopicBiopsy BiopsyWithoutIncision
BINARY DisjointWith EndoscopicBiopsy TrucutBiopsy
BINARY DisjointWith EndoscopicBiopsy SurfaceBiopsy
BINARY DisjointWith EndoscopicBiopsy PunchBiopsy
BINARY DisjointWith EndoscopicBiopsy FineNeedleBiopsy
BINARY DisjointWith EndoscopicBiopsy CoreNeedleBiopsy
BINARY DisjointWith EndoscopicBiopsy ConeBiopsy
BINARY is FifthThroracicVertebra Class
BINARY SubClassOf FifthThroracicVertebra ThoracicVertebra
BINARY is FineNeedleBiopsy Class
BINARY SubClassOf FineNeedleBiopsy BiopsyWithoutIncision
BINARY DisjointWith FineNeedleBiopsy TrucutBiopsy
BINARY DisjointWith FineNeedleBiopsy SurfaceBiopsy
BINARY DisjointWith FineNeedleBiopsy PunchBiopsy
BINARY DisjointWith FineNeedleBiopsy EndoscopicBiopsy
BINARY DisjointWith FineNeedleBiopsy CoreNeedleBiopsy
BINARY DisjointWith FineNeedleBiopsy ConeBiopsy
BINARY is HematologicalBiochemicalTest Class
BINARY SubClassOf HematologicalBiochemicalTest DiagnosticProcess
BINARY is HistologicalExamination Class
BINARY SubClassOf HistologicalExamination DiagnosticProcess
BINARY is HistopathologicTypeAssessment Class
BINARY is HumanBeing Class
BINARY is Imaging Class
BINARY SubClassOf Imaging DiagnosticProcess
BINARY is ImmunohistochemicalExamination Class
BINARY SubClassOf ImmunohistochemicalExamination DiagnosticProcess
BINARY is Inking Class
BINARY SubClassOf Inking DiagnosticProcess
BINARY is InvasiveDuctalCarcinomaAssessment Class
BINARY SubClassOf InvasiveDuctalCarcinomaAssessment HistopathologicTypeAssessment
BINARY is InvasiveLobularCarcinomaAssessment Class
BINARY SubClassOf InvasiveLobularCarcinomaAssessment HistopathologicTypeAssessment
BINARY is LCIS Class
BINARY DisjointWith LCIS DCIS
BINARY is LVEF Class
BINARY is MUGAScan Class
BINARY SubClassOf MUGAScan NuclearImaging,
