BINARY is CCTO_000008 ObjectProperty
BINARY is CCTO_000006 Class
BINARY is CCTO_000017 Class
BINARY is CCTO_000019 Class
BINARY is CCTO_000043 Class
BINARY SubClassOf CCTO_000043 CCTO_000017,
BINARY SubClassOf CCTO_000043 CCTO_000019,
BINARY SubClassOf CCTO_000043 CCTO_000008_some_CCTO_000006
BINARY is CCTO_000048 Class
BINARY SubClassOf CCTO_000048 CCTO_000043
BINARY is CCTO_000049 Class
BINARY SubClassOf CCTO_000049 CCTO_000043
BINARY is CCTO_000072 Class
BINARY SubClassOf CCTO_000072 CCTO_000043
BINARY is CCTO_000075 Class
BINARY SubClassOf CCTO_000075 CCTO_000043
BINARY is CCTO_000076 Class
BINARY SubClassOf CCTO_000076 CCTO_000043
BINARY is CCTO_000096 Class
BINARY SubClassOf CCTO_000096 CCTO_000043
BINARY is CCTO_000098 Class
BINARY is CCTO_000116 Class
BINARY SubClassOf CCTO_000116 CCTO_000043
BINARY is CCTO_000117 Class
BINARY SubClassOf CCTO_000117 CCTO_000043
BINARY is CCTO_000124 Class
BINARY SubClassOf CCTO_000124 CCTO_000098,
BINARY SubClassOf CCTO_000124 CCTO_000008_some_CCTO_000006
BINARY is CCTO_000129 Class
BINARY SubClassOf CCTO_000129 CCTO_000043
BINARY is CCTO_000130 Class
BINARY SubClassOf CCTO_000130 CCTO_000043
BINARY is CCTO_000131 Class
BINARY SubClassOf CCTO_000131 CCTO_000043
BINARY is CCTO_000141 Class
BINARY SubClassOf CCTO_000141 CCTO_000043
BINARY is CCTO_000142 Class
BINARY SubClassOf CCTO_000142 CCTO_000043
BINARY is CCTO_000157 Class
BINARY SubClassOf CCTO_000157 CCTO_000043
BINARY is CCTO_000161 Class
BINARY SubClassOf CCTO_000161 CCTO_000043
BINARY is CCTO_000167 Class
BINARY SubClassOf CCTO_000167 CCTO_000043
BINARY is CCTO_000172 Class
BINARY SubClassOf CCTO_000172 CCTO_000043
BINARY is CCTO_000177 Class
BINARY SubClassOf CCTO_000177 CCTO_000098,
BINARY SubClassOf CCTO_000177 CCTO_000008_some_CCTO_000006
BINARY is CCTO_000178 Class
BINARY SubClassOf CCTO_000178 CCTO_000043
BINARY is CCTO_000179 Class
BINARY SubClassOf CCTO_000179 CCTO_000098,
BINARY SubClassOf CCTO_000179 CCTO_000008_some_CCTO_000006
BINARY is CCTO_000180 Class
BINARY SubClassOf CCTO_000180 CCTO_000043
BINARY is CCTO_000184 Class
BINARY SubClassOf CCTO_000184 CCTO_000043
BINARY is CCTO_000185 Class
BINARY SubClassOf CCTO_000185 CCTO_000043
BINARY is CCTO_000209 Class
BINARY SubClassOf CCTO_000209 CCTO_000043
BINARY is CCTO_000217 Class
BINARY SubClassOf CCTO_000217 CCTO_000043
BINARY is CCTO_000230 Class
BINARY SubClassOf CCTO_000230 CCTO_000043
BINARY is CCTO_000242 Class
BINARY SubClassOf CCTO_000242 CCTO_000043
BINARY is CCTO_000248 Class
BINARY SubClassOf CCTO_000248 CCTO_000043
BINARY is CCTO_000254 Class
BINARY SubClassOf CCTO_000254 CCTO_000098,
BINARY SubClassOf CCTO_000254 CCTO_000008_some_CCTO_000006
BINARY is CCTO_000257 Class
BINARY SubClassOf CCTO_000257 CCTO_000043
BINARY is CCTO_000268 Class
BINARY SubClassOf CCTO_000268 CCTO_000043
BINARY is CCTO_000269 Class
BINARY SubClassOf CCTO_000269 CCTO_000043
BINARY is CCTO_000272 Class
BINARY SubClassOf CCTO_000272 CCTO_000043
BINARY is CCTO_000273 Class
BINARY SubClassOf CCTO_000273 CCTO_000043
BINARY is CCTO_000288 Class
BINARY SubClassOf CCTO_000288 CCTO_000043
BINARY is CCTO_000307 Class
BINARY SubClassOf CCTO_000307 CCTO_000043
BINARY is CCTO_000314 Class
BINARY SubClassOf CCTO_000314 CCTO_000043
BINARY is CCTO_000322 Class
BINARY SubClassOf CCTO_000322 CCTO_000098,
BINARY SubClassOf CCTO_000322 CCTO_000008_some_CCTO_000006
BINARY is CCTO_000326 Class
BINARY SubClassOf CCTO_000326 CCTO_000043
BINARY is CCTO_000339 Class
BINARY SubClassOf CCTO_000339 CCTO_000043
BINARY is CCTO_000340 Class
BINARY SubClassOf CCTO_000340 CCTO_000043
BINARY is CCTO_001120 Class
BINARY SubClassOf CCTO_001120 CCTO_000043
BINARY is www.w3.org/2002/07/# Class
