BINARY is string Datatype
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is LCSeprationMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is MSInstrument proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is MSInstrumentType proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is MSResultFile proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is MSRun proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is MSSearchDB proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is MSSearchMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is PerformanceSite proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is PreparationReagentMap proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is Reagent proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is SamplePreparationMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is StandardProteinSampleMap proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is StudyDesign proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is StudyProtocol proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is StudySample proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is StudyTeam proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is LCSeprationMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is MSInstrument proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is MSInstrumentType proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is MSResultFile proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is MSRun proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is MSSearchDB proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is MSSearchMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is PerformanceSite proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is PreparationReagentMap proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is Reagent proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is SamplePreparationMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is StandardProteinSampleMap proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is StudyDesign proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is StudyProtocol proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is StudySample proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is StudyTeam proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is LCSeprationMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is MSInstrument proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is MSInstrumentType proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is MSResultFile proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is MSRun proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is MSSearchDB proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is MSSearchMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is PerformanceSite proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is PreparationReagentMap proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is Reagent proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is SamplePreparationMethod proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is StandardProteinSampleMap proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is StudyDesign proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is StudyProtocol proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is StudySample proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCColumnType proteomeontology.org/cpo.#
BINARY is StudyTeam proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCSeprationMethod proteomeontology.org/cpo.#
BINARY is CPTACCatalogProtein proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCSeprationMethod proteomeontology.org/cpo.#
BINARY is Experiment proteomeontology.org/cpo.#
BINARY is proteomeontology.org/cpo.# ObjectProperty
BINARY is LCSeprationMethod proteomeontology.org/cpo.#
BINARY is LCColumnType proteomeontology.org/cpo.#
