BINARY is boolean Datatype
BINARY is createStructure ObjectProperty
BINARY Domain createStructure MaterialProcessing
BINARY Range createStructure ArchitecturalOrganization,
BINARY Range createStructure StructuralDetails,
BINARY Range createStructure Structure
BINARY is functionalizedBy ObjectProperty
BINARY Domain functionalizedBy ManufacturedObject,
BINARY Domain functionalizedBy ManufacturedObjectComponent
BINARY Range functionalizedBy BiologicallyActiveSubstance
BINARY is hasAssociatedBiologicalProcess ObjectProperty
BINARY Domain hasAssociatedBiologicalProcess ManufacturedObject,
BINARY Domain hasAssociatedBiologicalProcess ManufacturedObjectComponent
BINARY Range hasAssociatedBiologicalProcess AssociatedBiologicalProcess
BINARY is hasAssociatedStudyType ObjectProperty
BINARY Domain hasAssociatedStudyType ManufacturedObject
BINARY Range hasAssociatedStudyType StudyType
BINARY is hasBiologicalEffect ObjectProperty
BINARY Domain hasBiologicalEffect ManufacturedObject,
BINARY Domain hasBiologicalEffect ManufacturedObjectComponent
BINARY Range hasBiologicalEffect EffectOnBiologicalSystem
BINARY is hasBiomaterial ObjectProperty
BINARY Domain hasBiomaterial ManufacturedObject,
BINARY Domain hasBiomaterial ManufacturedObjectComponent
BINARY Range hasBiomaterial Biomaterial
BINARY is hasComponent ObjectProperty
BINARY Domain hasComponent ManufacturedObject
BINARY Range hasComponent ManufacturedObjectComponent
BINARY is hasDesignatedApplication ObjectProperty
BINARY Domain hasDesignatedApplication ManufacturedObject
BINARY Range hasDesignatedApplication MedicalApplication
BINARY is hasFeatures ObjectProperty
BINARY Domain hasFeatures ManufacturedObject,
BINARY Domain hasFeatures ManufacturedObjectComponent
BINARY Range hasFeatures ManufacturedObjectFeatures
BINARY is isProcessedVia ObjectProperty
BINARY Domain isProcessedVia ManufacturedObject,
BINARY Domain isProcessedVia ManufacturedObjectComponent
BINARY Range isProcessedVia MaterialProcessing
BINARY is 3D_printed DataProperty
BINARY Domain 3D_printed ManufacturedObject,
BINARY Domain 3D_printed ManufacturedObjectComponent
BINARY Range 3D_printed boolean
BINARY SubPropertyOf 3D_printed manufactured
BINARY is Encapsulating DataProperty
BINARY Domain Encapsulating ManufacturedObject,
BINARY Domain Encapsulating ManufacturedObjectComponent
BINARY Range Encapsulating boolean
BINARY is absorbable DataProperty
BINARY Domain absorbable ManufacturedObject,
BINARY Domain absorbable ManufacturedObjectComponent
BINARY Range absorbable boolean
BINARY SubPropertyOf absorbable degradable
BINARY is acellular DataProperty
BINARY Domain acellular ManufacturedObject,
BINARY Domain acellular ManufacturedObjectComponent
BINARY Range acellular boolean
BINARY is acid_etched DataProperty
BINARY Domain acid_etched ManufacturedObject,
BINARY Domain acid_etched ManufacturedObjectComponent
BINARY Range acid_etched boolean
BINARY SubPropertyOf acid_etched etched
BINARY is adsorbed DataProperty
BINARY Domain adsorbed Surface
BINARY Range adsorbed boolean
BINARY SubPropertyOf adsorbed treated
BINARY is antibacterial DataProperty
BINARY Domain antibacterial ManufacturedObject
BINARY Range antibacterial boolean
BINARY SubPropertyOf antibacterial antimicrobial
BINARY is antimicrobial DataProperty
BINARY Domain antimicrobial ManufacturedObject,
BINARY Domain antimicrobial ManufacturedObjectComponent
BINARY Range antimicrobial boolean
BINARY SubPropertyOf antimicrobial bioactive
BINARY is bioactive DataProperty
BINARY Domain bioactive ManufacturedObject,
BINARY Domain bioactive ManufacturedObjectComponent
BINARY Range bioactive boolean
BINARY is biocompatible DataProperty
BINARY Domain biocompatible ManufacturedObject,
BINARY Domain biocompatible ManufacturedObjectComponent
BINARY Range biocompatible boolean
BINARY is biodegradable DataProperty
BINARY Domain biodegradable ManufacturedObject,
BINARY Domain biodegradable ManufacturedObjectComponent
BINARY Range biodegradable boolean
BINARY SubPropertyOf biodegradable bioresorbable,
BINARY SubPropertyOf biodegradable degradable
BINARY is biofunctional DataProperty
BINARY Domain biofunctional ManufacturedObject,
BINARY Domain biofunctional ManufacturedObjectComponent
BINARY Range biofunctional boolean
BINARY SubPropertyOf biofunctional bioactive
BINARY is bioprinted DataProperty
BINARY Domain bioprinted ManufacturedObject,
BINARY Domain bioprinted ManufacturedObjectComponent
BINARY Range bioprinted boolean
BINARY SubPropertyOf bioprinted manufactured
BINARY is bioresorbable DataProperty
BINARY Domain bioresorbable ManufacturedObject
BINARY Range bioresorbable boolean
BINARY SubPropertyOf bioresorbable biodegradable,
BINARY SubPropertyOf bioresorbable degradable
BINARY is blended DataProperty
BINARY SubPropertyOf blended processed
BINARY is braided DataProperty
BINARY Domain braided ManufacturedObject,
BINARY Domain braided ManufacturedObjectComponent
BINARY Range braided boolean
BINARY SubPropertyOf braided manufactured
BINARY is calcified DataProperty
BINARY Domain calcified ManufacturedObject,
BINARY Domain calcified ManufacturedObjectComponent
BINARY Range calcified boolean
BINARY is cementogenic DataProperty
BINARY Domain cementogenic ManufacturedObject,
BINARY Domain cementogenic ManufacturedObjectComponent
BINARY Range cementogenic boolean
