BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is RO_0000053 ObjectProperty
BINARY is RO_0004022 ObjectProperty
BINARY is RO_0004029 ObjectProperty
BINARY is TEMP# ObjectProperty
BINARY is mondo# ObjectProperty
BINARY is mondo# ObjectProperty
BINARY is mondo# ObjectProperty
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is <https Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is EHDA_519 Class
BINARY is EHDA_6 Class
BINARY is MONDO_0000001 Class
BINARY is //78ceb509-e44b-4d8c-bd47-b457f9d835cb <https
BINARY is MONDO_0000009 Class
BINARY SubClassOf MONDO_0000009 MONDO_0002243,
BINARY SubClassOf MONDO_0000009 MONDO_0002245,
BINARY SubClassOf MONDO_0000009 MONDO_0003847
BINARY is MONDO_0000022 Class
BINARY SubClassOf MONDO_0000022 MONDO_0024290
BINARY is MONDO_0000023 Class
BINARY SubClassOf MONDO_0000023 MONDO_0015508
BINARY is MONDO_0000032 Class
BINARY SubClassOf MONDO_0000032 MONDO_0003847
BINARY is MONDO_0000044 Class
BINARY equiv MONDO_0000044 MONDO_0024300_and_(RO_0000053_some_MONDO_0021152)
BINARY SubClassOf MONDO_0000044 MONDO_0003847,
BINARY SubClassOf MONDO_0000044 MONDO_0024300
BINARY is MONDO_0000045 Class
BINARY SubClassOf MONDO_0000045 MONDO_0003847,
BINARY SubClassOf MONDO_0000045 MONDO_0018612
BINARY is MONDO_0000062 Class
BINARY equiv MONDO_0000062 MONDO_0021129_and_(RO_0000053_some_MONDO_0021128)
BINARY SubClassOf MONDO_0000062 MONDO_0003847,
BINARY SubClassOf MONDO_0000062 MONDO_0021129,
BINARY SubClassOf MONDO_0000062 RO_0000053_some_MONDO_0021128
BINARY is MONDO_0000066 Class
BINARY SubClassOf MONDO_0000066 MONDO_0004069
BINARY is MONDO_0000082 Class
BINARY SubClassOf MONDO_0000082 MONDO_0005039
BINARY is MONDO_0000088 Class
BINARY SubClassOf MONDO_0000088 MONDO_0002259,
BINARY SubClassOf MONDO_0000088 MONDO_0021147
BINARY is MONDO_0000104 Class
BINARY SubClassOf MONDO_0000104 MONDO_0000387,
BINARY SubClassOf MONDO_0000104 MONDO_0003847
BINARY is MONDO_0000107 Class
BINARY SubClassOf MONDO_0000107 MONDO_0007500
BINARY is MONDO_0000110 Class
BINARY SubClassOf MONDO_0000110 MONDO_0015503
BINARY is MONDO_0000111 Class
BINARY SubClassOf MONDO_0000111 MONDO_0003847
BINARY is MONDO_0000114 Class
BINARY SubClassOf MONDO_0000114 MONDO_0003847
BINARY is MONDO_0000115 Class
BINARY SubClassOf MONDO_0000115 MONDO_0003847
BINARY is MONDO_0000118 Class
BINARY SubClassOf MONDO_0000118 MONDO_0100118
BINARY is MONDO_0000119 Class
BINARY is MONDO_0000128 Class
BINARY SubClassOf MONDO_0000128 MONDO_0020127
BINARY is MONDO_0000129 Class
BINARY SubClassOf MONDO_0000129 MONDO_0005066
BINARY is MONDO_0000136 Class
BINARY SubClassOf MONDO_0000136 MONDO_0100118
BINARY is MONDO_0000137 Class
BINARY SubClassOf MONDO_0000137 MONDO_0003847,
BINARY SubClassOf MONDO_0000137 MONDO_0005560
BINARY is MONDO_0000141 Class
BINARY SubClassOf MONDO_0000141 MONDO_0015356
BINARY is MONDO_0000147 Class
BINARY is MONDO_0000148 Class
BINARY SubClassOf MONDO_0000148 MONDO_0002771,
BINARY SubClassOf MONDO_0000148 MONDO_0003225,
BINARY SubClassOf MONDO_0000148 MONDO_0003847,
BINARY SubClassOf MONDO_0000148 MONDO_0100137
BINARY is MONDO_0000151 Class
BINARY SubClassOf MONDO_0000151 MONDO_0005172
BINARY is MONDO_0000152 Class
BINARY is MONDO_0000153 Class
BINARY is MONDO_0000158 Class
BINARY SubClassOf MONDO_0000158 MONDO_0003847,
BINARY SubClassOf MONDO_0000158 MONDO_0005497
BINARY is MONDO_0000159 Class
BINARY SubClassOf MONDO_0000159 MONDO_0003225,
BINARY SubClassOf MONDO_0000159 MONDO_0003847
BINARY is MONDO_0000166 Class
BINARY SubClassOf MONDO_0000166 MONDO_0003847,
BINARY SubClassOf MONDO_0000166 MONDO_0005560,
BINARY SubClassOf MONDO_0000166 MONDO_0020683,
BINARY SubClassOf MONDO_0000166 MONDO_0021669
BINARY is MONDO_0000169 Class
BINARY SubClassOf MONDO_0000169 MONDO_0000062
BINARY is MONDO_0000170 Class
BINARY SubClassOf MONDO_0000170 MONDO_0000062
BINARY is MONDO_0000172 Class
BINARY SubClassOf MONDO_0000172 MONDO_0003847,
BINARY SubClassOf MONDO_0000172 MONDO_0018276
BINARY is MONDO_0000173 Class
BINARY SubClassOf MONDO_0000173 MONDO_0003847,
BINARY SubClassOf MONDO_0000173 MONDO_0018276
BINARY is MONDO_0000181 Class
BINARY SubClassOf MONDO_0000181 MONDO_0100500
BINARY is MONDO_0000182 Class
BINARY SubClassOf MONDO_0000182 MONDO_0018940
BINARY is MONDO_0000188 Class
BINARY SubClassOf MONDO_0000188 MONDO_0015653
BINARY is MONDO_0000192 Class
BINARY SubClassOf MONDO_0000192 MONDO_0003847,
BINARY SubClassOf MONDO_0000192 MONDO_0005336
BINARY is MONDO_0000193 Class
BINARY SubClassOf MONDO_0000193 MONDO_0016072
BINARY is MONDO_0000200 Class
BINARY SubClassOf MONDO_0000200 MONDO_0003847,
BINARY SubClassOf MONDO_0000200 RO_0000053_some_MONDO_0021136
BINARY is MONDO_0000209 Class
BINARY SubClassOf MONDO_0000209 MONDO_0015168
BINARY is MONDO_0000213 Class
BINARY SubClassOf MONDO_0000213 MONDO_0003847,
BINARY SubClassOf MONDO_0000213 MONDO_0007179
BINARY is MONDO_0000222 Class
BINARY SubClassOf MONDO_0000222 MONDO_0001027,
BINARY SubClassOf MONDO_0000222 MONDO_0020683
BINARY is MONDO_0000224 Class
BINARY SubClassOf MONDO_0000224 MONDO_0006504,
BINARY SubClassOf MONDO_0000224 MONDO_0037792
BINARY is MONDO_0000225 Class
BINARY SubClassOf MONDO_0000225 MONDO_0004805
BINARY is MONDO_0000226 Class
BINARY SubClassOf MONDO_0000226 MONDO_0005066
BINARY is MONDO_0000236 Class
BINARY SubClassOf MONDO_0000236 MONDO_0020592,
BINARY SubClassOf MONDO_0000236 MONDO_0043424
BINARY is MONDO_0000241 Class
BINARY SubClassOf MONDO_0000241 MONDO_0006873
BINARY is MONDO_0000249 Class
BINARY SubClassOf MONDO_0000249 MONDO_0001673
BINARY is MONDO_0000251 Class
BINARY SubClassOf MONDO_0000251 MONDO_0001673
BINARY is MONDO_0000252 Class
BINARY SubClassOf MONDO_0000252 MONDO_0000888,
BINARY SubClassOf MONDO_0000252 MONDO_0001673,
BINARY SubClassOf MONDO_0000252 MONDO_0002269
BINARY is MONDO_0000253 Class
BINARY SubClassOf MONDO_0000253 MONDO_0002917,
BINARY SubClassOf MONDO_0000253 MONDO_0024481
BINARY is MONDO_0000254 Class
BINARY SubClassOf MONDO_0000254 MONDO_0002041,
BINARY SubClassOf MONDO_0000254 MONDO_0002051,
BINARY SubClassOf MONDO_0000254 RO_0000053_some_MONDO_0045042
BINARY is MONDO_0000255 Class
BINARY SubClassOf MONDO_0000255 MONDO_0000254
BINARY is MONDO_0000257 Class
BINARY SubClassOf MONDO_0000257 MONDO_0001673,
BINARY SubClassOf MONDO_0000257 MONDO_0020683
BINARY is MONDO_0000261 Class
BINARY SubClassOf MONDO_0000261 MONDO_0001039,
BINARY SubClassOf MONDO_0000261 MONDO_0001040
BINARY is MONDO_0000263 Class
BINARY SubClassOf MONDO_0000263 MONDO_0002647
BINARY is MONDO_0000270 Class
