BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is C0000832 Class
BINARY SubClassOf C0000832 Causes_risk_factors
BINARY is C0001175 Class
BINARY SubClassOf C0001175 C0019693,
BINARY SubClassOf C0001175 C0036916
BINARY is C0001206 Class
BINARY SubClassOf C0001206 Causes_risk_factors
BINARY is C0001617 Class
BINARY SubClassOf C0001617 C0038317
BINARY is C0001644 Class
BINARY SubClassOf C0001644 Causes_risk_factors
BINARY is C0001645 Class
BINARY SubClassOf C0001645 Causes_risk_factors
BINARY is C0001792 Class
BINARY SubClassOf C0001792 Causes_risk_factors
BINARY is C0001811 Class
BINARY SubClassOf C0001811 Causes_risk_factors
BINARY is C0001925 Class
BINARY SubClassOf C0001925 C0151746
BINARY is C0001948 Class
BINARY SubClassOf C0001948 Causes_risk_factors
BINARY is C0001973 Class
BINARY SubClassOf C0001973 C0085762,
BINARY SubClassOf C0001973 C0740858
BINARY is C0002475 Class
BINARY SubClassOf C0002475 C0003392
BINARY is C0002679 Class
BINARY SubClassOf C0002679 Causes_risk_factors
BINARY is C0002726 Class
BINARY SubClassOf C0002726 C0009782
BINARY is C0002744 Class
BINARY SubClassOf C0002744 C0002844,
BINARY SubClassOf C0002744 C0038317
BINARY is C0002844 Class
BINARY SubClassOf C0002844 Causes_risk_factors
BINARY is C0002871 Class
BINARY SubClassOf C0002871 Causes_risk_factors
BINARY is C0002962 Class
BINARY SubClassOf C0002962 C0010068
BINARY is C0002986 Class
BINARY SubClassOf C0002986 Causes_risk_factors
BINARY is C0003125 Class
BINARY SubClassOf C0003125 Causes_risk_factors
BINARY is C0003195 Class
BINARY SubClassOf C0003195 Causes_risk_factors
BINARY is C0003209 Class
BINARY SubClassOf C0003209 Causes_risk_factors
BINARY is C0003211 Class
BINARY SubClassOf C0003211 C0003209
BINARY is C0003250 Class
BINARY SubClassOf C0003250 Causes_risk_factors
BINARY is C0003290 Class
BINARY SubClassOf C0003290 Causes_risk_factors
BINARY is C0003392 Class
BINARY SubClassOf C0003392 Causes_risk_factors
BINARY is C0003504 Class
BINARY SubClassOf C0003504 C0018824
BINARY is C0003507 Class
BINARY SubClassOf C0003507 C0018824
BINARY is C0003811 Class
BINARY SubClassOf C0003811 C0264886
BINARY is C0003850 Class
BINARY SubClassOf C0003850 Causes_risk_factors
BINARY is C0003855 Class
BINARY SubClassOf C0003855 Causes_risk_factors
BINARY is C0003873 Class
BINARY SubClassOf C0003873 C0009326,
