BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is isPhenotypeOf ObjectProperty
BINARY is 200906000125148618 Class
BINARY SubClassOf 200906000125148618 200906057490054233
BINARY is 200906000230388110 Class
BINARY SubClassOf 200906000230388110 200906057490054233
BINARY is 200906000327380180 Class
BINARY SubClassOf 200906000327380180 200906057490054233
BINARY is 200906000573974669 Class
BINARY SubClassOf 200906000573974669 200906057490054233
BINARY is 200906000720599470 Class
BINARY SubClassOf 200906000720599470 IB01_cat
BINARY is 200906000775635807 Class
BINARY SubClassOf 200906000775635807 200906057490054233
BINARY is 200906000813520601 Class
BINARY SubClassOf 200906000813520601 200906057490054233
BINARY is 200906000994403385 Class
BINARY SubClassOf 200906000994403385 200906057490054233
BINARY is 200906001008564283 Class
BINARY SubClassOf 200906001008564283 200906057490054233
BINARY is 200906001402770867 Class
BINARY SubClassOf 200906001402770867 200906057490054233
BINARY is 200906001830334036 Class
BINARY SubClassOf 200906001830334036 200906057490054233
BINARY is 200906001832880593 Class
BINARY SubClassOf 200906001832880593 200906057490054233
BINARY is 200906002145807491 Class
BINARY SubClassOf 200906002145807491 200906057490054233
BINARY is 200906002242856235 Class
BINARY SubClassOf 200906002242856235 200906057490054233
BINARY is 200906002437938473 Class
BINARY SubClassOf 200906002437938473 200906057490054233
BINARY is 200906002440772578 Class
BINARY SubClassOf 200906002440772578 200906057490054233
BINARY is 200906002685406291 Class
BINARY SubClassOf 200906002685406291 IB01_cat
BINARY is 200906002750551741 Class
BINARY SubClassOf 200906002750551741 GA03_cat
BINARY is 200906002923326650 Class
BINARY SubClassOf 200906002923326650 200906057490054233
BINARY is 200906002969246405 Class
BINARY SubClassOf 200906002969246405 200906057490054233
BINARY is 200906003192373781 Class
BINARY SubClassOf 200906003192373781 200906057490054233
BINARY is 200906003221730700 Class
BINARY SubClassOf 200906003221730700 200906057490054233
BINARY is 200906003327324565 Class
BINARY SubClassOf 200906003327324565 200906057490054233
