BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is MMO_0000000 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is MMO_0000001 Class
BINARY SubClassOf MMO_0000001 MMO_0000026
BINARY is MMO_0000002 Class
BINARY SubClassOf MMO_0000002 MMO_0000337
BINARY is MMO_0000003 Class
BINARY SubClassOf MMO_0000003 MMO_0000001
BINARY is MMO_0000004 Class
BINARY SubClassOf MMO_0000004 MMO_0000027
BINARY is MMO_0000005 Class
BINARY SubClassOf MMO_0000005 MMO_0000277
BINARY is MMO_0000007 Class
BINARY SubClassOf MMO_0000007 MMO_0000130
BINARY is MMO_0000008 Class
BINARY SubClassOf MMO_0000008 MMO_0000076
BINARY is MMO_0000009 Class
BINARY SubClassOf MMO_0000009 MMO_0000076
BINARY is MMO_0000010 Class
BINARY SubClassOf MMO_0000010 MMO_0000026
BINARY is MMO_0000011 Class
BINARY SubClassOf MMO_0000011 MMO_0000026
BINARY is MMO_0000012 Class
BINARY SubClassOf MMO_0000012 MMO_0000013
BINARY is MMO_0000013 Class
BINARY SubClassOf MMO_0000013 MMO_0000011
BINARY is MMO_0000014 Class
BINARY SubClassOf MMO_0000014 MMO_0000011
BINARY is MMO_0000015 Class
BINARY SubClassOf MMO_0000015 MMO_0000026
BINARY is MMO_0000016 Class
BINARY SubClassOf MMO_0000016 MMO_0000119
BINARY is MMO_0000018 Class
BINARY SubClassOf MMO_0000018 MMO_0000713
BINARY is MMO_0000019 Class
BINARY SubClassOf MMO_0000019 MMO_0000709
BINARY is MMO_0000020 Class
BINARY SubClassOf MMO_0000020 MMO_0000011
BINARY is MMO_0000021 Class
BINARY SubClassOf MMO_0000021 MMO_0000317
BINARY is MMO_0000022 Class
BINARY SubClassOf MMO_0000022 MMO_0000130
BINARY is MMO_0000023 Class
BINARY SubClassOf MMO_0000023 MMO_0000001
BINARY is MMO_0000024 Class
BINARY SubClassOf MMO_0000024 MMO_0000026
BINARY is MMO_0000025 Class
BINARY SubClassOf MMO_0000025 MMO_0000228
BINARY is MMO_0000026 Class
BINARY SubClassOf MMO_0000026 MMO_0000000
BINARY is MMO_0000027 Class
BINARY SubClassOf MMO_0000027 MMO_0000000
BINARY is MMO_0000028 Class
BINARY SubClassOf MMO_0000028 MMO_0000082
BINARY is MMO_0000031 Class
BINARY SubClassOf MMO_0000031 MMO_0000076
BINARY is MMO_0000033 Class
BINARY SubClassOf MMO_0000033 MMO_0000097
BINARY is MMO_0000034 Class
BINARY SubClassOf MMO_0000034 MMO_0000193
BINARY is MMO_0000039 Class
BINARY SubClassOf MMO_0000039 MMO_0000230
BINARY is MMO_0000040 Class
BINARY SubClassOf MMO_0000040 MMO_0000026
BINARY is MMO_0000041 Class
BINARY SubClassOf MMO_0000041 MMO_0000003
BINARY is MMO_0000042 Class
BINARY SubClassOf MMO_0000042 MMO_0000003
BINARY is MMO_0000043 Class
BINARY SubClassOf MMO_0000043 MMO_0000201
BINARY is MMO_0000044 Class
BINARY SubClassOf MMO_0000044 MMO_0000043
BINARY is MMO_0000048 Class
BINARY SubClassOf MMO_0000048 MMO_0000043
BINARY is MMO_0000052 Class
BINARY SubClassOf MMO_0000052 MMO_0000008,
BINARY SubClassOf MMO_0000052 MMO_0000031
BINARY is MMO_0000053 Class
BINARY SubClassOf MMO_0000053 MMO_0000009,
BINARY SubClassOf MMO_0000053 MMO_0000031
BINARY is MMO_0000054 Class
BINARY SubClassOf MMO_0000054 MMO_0000010
BINARY is MMO_0000055 Class
BINARY SubClassOf MMO_0000055 MMO_0000201
BINARY is MMO_0000056 Class
BINARY SubClassOf MMO_0000056 MMO_0000055
BINARY is MMO_0000057 Class
BINARY SubClassOf MMO_0000057 MMO_0000055
BINARY is MMO_0000058 Class
BINARY SubClassOf MMO_0000058 MMO_0000055
BINARY is MMO_0000061 Class
BINARY SubClassOf MMO_0000061 MMO_0000055
BINARY is MMO_0000062 Class
BINARY SubClassOf MMO_0000062 MMO_0000055
BINARY is MMO_0000063 Class
BINARY SubClassOf MMO_0000063 MMO_0000201
BINARY is MMO_0000064 Class
BINARY SubClassOf MMO_0000064 MMO_0000063
BINARY is MMO_0000070 Class
BINARY SubClassOf MMO_0000070 MMO_0000577
BINARY is MMO_0000071 Class
BINARY SubClassOf MMO_0000071 MMO_0000026
BINARY is MMO_0000072 Class
BINARY SubClassOf MMO_0000072 MMO_0000026
BINARY is MMO_0000073 Class
BINARY SubClassOf MMO_0000073 MMO_0000098,
BINARY SubClassOf MMO_0000073 MMO_0000237
BINARY is MMO_0000074 Class
BINARY SubClassOf MMO_0000074 MMO_0000072,
BINARY SubClassOf MMO_0000074 MMO_0000076
BINARY is MMO_0000075 Class
BINARY SubClassOf MMO_0000075 MMO_0000713
BINARY is MMO_0000076 Class
BINARY SubClassOf MMO_0000076 MMO_0000026
BINARY is MMO_0000077 Class
BINARY SubClassOf MMO_0000077 MMO_0000071
BINARY is MMO_0000078 Class
BINARY SubClassOf MMO_0000078 MMO_0000071
BINARY is MMO_0000079 Class
BINARY SubClassOf MMO_0000079 MMO_0000071
BINARY is MMO_0000080 Class
BINARY SubClassOf MMO_0000080 MMO_0000159
BINARY is MMO_0000081 Class
BINARY SubClassOf MMO_0000081 MMO_0000027
BINARY is MMO_0000082 Class
BINARY SubClassOf MMO_0000082 MMO_0000004
BINARY is MMO_0000083 Class
BINARY SubClassOf MMO_0000083 MMO_0000082
BINARY is MMO_0000084 Class
BINARY SubClassOf MMO_0000084 MMO_0000082
BINARY is MMO_0000085 Class
BINARY SubClassOf MMO_0000085 MMO_0000082
BINARY is MMO_0000089 Class
BINARY SubClassOf MMO_0000089 MMO_0000119
BINARY is MMO_0000090 Class
BINARY SubClassOf MMO_0000090 MMO_0000097
BINARY is MMO_0000091 Class
BINARY SubClassOf MMO_0000091 MMO_0000016
BINARY is MMO_0000093 Class
BINARY SubClassOf MMO_0000093 MMO_0000097
BINARY is MMO_0000094 Class
BINARY SubClassOf MMO_0000094 MMO_0000026
BINARY is MMO_0000095 Class
BINARY SubClassOf MMO_0000095 MMO_0000040
BINARY is MMO_0000096 Class
BINARY SubClassOf MMO_0000096 MMO_0000040
BINARY is MMO_0000097 Class
BINARY SubClassOf MMO_0000097 MMO_0000235
BINARY is MMO_0000098 Class
BINARY SubClassOf MMO_0000098 MMO_0000027
BINARY is MMO_0000100 Class
BINARY SubClassOf MMO_0000100 MMO_0000287
BINARY is MMO_0000104 Class
BINARY SubClassOf MMO_0000104 MMO_0000089
BINARY is MMO_0000105 Class
BINARY SubClassOf MMO_0000105 MMO_0000089
BINARY is MMO_0000108 Class
BINARY SubClassOf MMO_0000108 MMO_0000337
BINARY is MMO_0000109 Class
BINARY SubClassOf MMO_0000109 MMO_0000027,
BINARY SubClassOf MMO_0000109 MMO_0000500
BINARY is MMO_0000110 Class
BINARY SubClassOf MMO_0000110 MMO_0000109
BINARY is MMO_0000111 Class
BINARY SubClassOf MMO_0000111 MMO_0000109
BINARY is MMO_0000119 Class
BINARY SubClassOf MMO_0000119 MMO_0000026
BINARY is MMO_0000120 Class
BINARY SubClassOf MMO_0000120 MMO_0000119
BINARY is MMO_0000121 Class
BINARY SubClassOf MMO_0000121 MMO_0000120
BINARY is MMO_0000123 Class
BINARY SubClassOf MMO_0000123 MMO_0000119
BINARY is MMO_0000124 Class
BINARY SubClassOf MMO_0000124 MMO_0000026
BINARY is MMO_0000125 Class
BINARY SubClassOf MMO_0000125 MMO_0000124
BINARY is MMO_0000126 Class
BINARY SubClassOf MMO_0000126 MMO_0000124
BINARY is MMO_0000127 Class
BINARY SubClassOf MMO_0000127 MMO_0000124
BINARY is MMO_0000128 Class
BINARY SubClassOf MMO_0000128 MMO_0000127
BINARY is MMO_0000129 Class
BINARY SubClassOf MMO_0000129 MMO_0000127
BINARY is MMO_0000130 Class
BINARY SubClassOf MMO_0000130 MMO_0000076
BINARY is MMO_0000147 Class
BINARY is MMO_0000158 Class
BINARY SubClassOf MMO_0000158 MMO_0000026
BINARY is MMO_0000159 Class
BINARY SubClassOf MMO_0000159 MMO_0000492
BINARY is MMO_0000160 Class
BINARY SubClassOf MMO_0000160 MMO_0000000
BINARY is MMO_0000161 Class
BINARY SubClassOf MMO_0000161 MMO_0000004
BINARY is MMO_0000162 Class
BINARY SubClassOf MMO_0000162 MMO_0000027
BINARY is MMO_0000163 Class
BINARY SubClassOf MMO_0000163 MMO_0000026
BINARY is MMO_0000166 Class
BINARY is MMO_0000170 Class
BINARY SubClassOf MMO_0000170 MMO_0000027
BINARY is MMO_0000172 Class
BINARY is MMO_0000173 Class
BINARY SubClassOf MMO_0000173 MMO_0000172
BINARY is MMO_0000193 Class
BINARY SubClassOf MMO_0000193 MMO_0000026
BINARY is MMO_0000194 Class
BINARY SubClassOf MMO_0000194 MMO_0000193
BINARY is MMO_0000195 Class
BINARY SubClassOf MMO_0000195 MMO_0000193
BINARY is MMO_0000196 Class
BINARY SubClassOf MMO_0000196 MMO_0000193
BINARY is MMO_0000198 Class
BINARY SubClassOf MMO_0000198 MMO_0000024
