BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is BFO_0000051 ObjectProperty
BINARY is RO_0000087 ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is chebi# ObjectProperty
BINARY is CHEBI_10022 Class
BINARY SubClassOf CHEBI_10022 CHEBI_55517
BINARY is CHEBI_132943 Class
BINARY SubClassOf CHEBI_132943 CHEBI_33558
BINARY is CHEBI_132944 Class
BINARY is CHEBI_133790 Class
BINARY SubClassOf CHEBI_133790 CHEBI_76567
BINARY is CHEBI_134019 Class
BINARY SubClassOf CHEBI_134019 CHEBI_76567
BINARY is CHEBI_138675 Class
BINARY is CHEBI_13941 Class
BINARY SubClassOf CHEBI_13941 CHEBI_37022,
BINARY is is_conjugate_base_of_some_CHEBI_28616 chebi#
BINARY is CHEBI_142851 Class
BINARY is CHEBI_142852 Class
BINARY is CHEBI_142853 Class
BINARY SubClassOf CHEBI_142853 CHEBI_142851,
BINARY is is_enantiomer_of_some_CHEBI_142852, chebi#
BINARY is is_tautomer_of_some_CHEBI_142854 chebi#
BINARY is CHEBI_142854 Class
BINARY is CHEBI_142856 Class
BINARY SubClassOf CHEBI_142856 CHEBI_35238,
BINARY is is_conjugate_acid_of_some_CHEBI_142859, chebi#
BINARY is is_enantiomer_of_some_CHEBI_142854, chebi#
BINARY is is_tautomer_of_some_CHEBI_142852 chebi#
BINARY is CHEBI_142859 Class
BINARY is CHEBI_14321 Class
BINARY SubClassOf CHEBI_14321 CHEBI_33558
BINARY is CHEBI_15356 Class
BINARY is CHEBI_15378 Class
BINARY SubClassOf CHEBI_15378 CHEBI_25414,
BINARY SubClassOf CHEBI_15378 CHEBI_33251,
BINARY SubClassOf CHEBI_15378 CHEBI_33252,
BINARY SubClassOf CHEBI_15378 CHEBI_60242
BINARY is CHEBI_15428 Class
BINARY SubClassOf CHEBI_15428 CHEBI_26650,
BINARY SubClassOf CHEBI_15428 CHEBI_33704,
BINARY SubClassOf CHEBI_15428 CHEBI_83813,
BINARY SubClassOf CHEBI_15428 RO_0000087_some_CHEBI_25512,
