BINARY is int Datatype
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is Age_Range www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY Characteristics www.-ontologies.com/Ontology1172270693.# InverseFunctional
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is Health_State www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_fam_hx_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is Health_State www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is Health_State www.-ontologies.com/Ontology1172270693.#
BINARY is health_state_belongs_to_whom www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY Characteristics www.-ontologies.com/Ontology1172270693.# Symmetric
BINARY is Person_Male www.-ontologies.com/Ontology1172270693.#
BINARY is has_identical_twin_brother www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY Characteristics www.-ontologies.com/Ontology1172270693.# Symmetric
BINARY is Person_Female www.-ontologies.com/Ontology1172270693.#
BINARY is has_identical_twin_sister www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_family_member www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# ObjectProperty
BINARY is has_health_state www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# DataProperty
BINARY is Person www.-ontologies.com/Ontology1172270693.#
BINARY Range Person int
BINARY is www.-ontologies.com/Ontology1172270693.# Class
BINARY is Male_Relation www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# Class
BINARY is Male_Relation www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# Class
BINARY is Male_Relation www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.-ontologies.com/Ontology1172270693.# Class
BINARY is Age_Range www.-ontologies.com/Ontology1172270693.#
BINARY is www.-ontologies.com/Ontology1172270693.# Class
BINARY is Age_Range www.-ontologies.com/Ontology1172270693.#
