BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is ERO_0000572 ObjectProperty
BINARY Domain ERO_0000572 ERO_0000985
BINARY Range ERO_0000572 GO_0008150
BINARY is ERO_0000571 DataProperty
BINARY Domain ERO_0000571 ERO_0000985
BINARY Range ERO_0000571 string
BINARY is ERO_0000578 DataProperty
BINARY Domain ERO_0000578 ERO_0000985
BINARY Range ERO_0000578 string
BINARY is ERO_0000579 DataProperty
BINARY Domain ERO_0000579 ERO_0000985
BINARY Range ERO_0000579 string
BINARY is ERO_0000581 Class
BINARY SubClassOf ERO_0000581 ERO_0000985
BINARY is ERO_0000985 Class
BINARY SubClassOf ERO_0000985 OBI_0100026
BINARY is ERO_0001054 Class
BINARY SubClassOf ERO_0001054 ERO_0000985
BINARY is GO_0008150 Class
BINARY is NCBITaxon_100169 Class
BINARY SubClassOf NCBITaxon_100169 NCBITaxon_33090
BINARY is NCBITaxon_100506 Class
BINARY SubClassOf NCBITaxon_100506 NCBITaxon_33090
BINARY is NCBITaxon_100514 Class
BINARY SubClassOf NCBITaxon_100514 NCBITaxon_33090
BINARY is NCBITaxon_102107 Class
BINARY SubClassOf NCBITaxon_102107 NCBITaxon_3754
BINARY is NCBITaxon_102211 Class
BINARY SubClassOf NCBITaxon_102211 NCBITaxon_33090
BINARY is NCBITaxon_102693 Class
BINARY SubClassOf NCBITaxon_102693 NCBITaxon_33090
BINARY is NCBITaxon_102766 Class
BINARY SubClassOf NCBITaxon_102766 NCBITaxon_33090
BINARY is NCBITaxon_102777 Class
BINARY SubClassOf NCBITaxon_102777 NCBITaxon_13516
BINARY is NCBITaxon_103349 Class
BINARY SubClassOf NCBITaxon_103349 NCBITaxon_3603
BINARY is NCBITaxon_105181 Class
BINARY SubClassOf NCBITaxon_105181 NCBITaxon_33090
BINARY is NCBITaxon_105361 Class
BINARY SubClassOf NCBITaxon_105361 NCBITaxon_7586
BINARY is NCBITaxon_105884 Class
BINARY SubClassOf NCBITaxon_105884 NCBITaxon_33090
BINARY is NCBITaxon_106546 Class
BINARY SubClassOf NCBITaxon_106546 NCBITaxon_33090
BINARY is NCBITaxon_1080339 Class
BINARY SubClassOf NCBITaxon_1080339 NCBITaxon_33090
BINARY is NCBITaxon_108544 Class
BINARY SubClassOf NCBITaxon_108544 NCBITaxon_59070
BINARY is NCBITaxon_108546 Class
BINARY SubClassOf NCBITaxon_108546 NCBITaxon_59070
BINARY is NCBITaxon_1117 Class
BINARY SubClassOf NCBITaxon_1117 NCBITaxon_2
BINARY is NCBITaxon_112831 Class
BINARY SubClassOf NCBITaxon_112831 NCBITaxon_33090
