BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is 200906000468292277 Class
BINARY SubClassOf 200906000468292277 BJ01_cat
BINARY is 200906000549240964 Class
BINARY SubClassOf 200906000549240964 BJ01_cat
BINARY is 200906000901559550 Class
BINARY SubClassOf 200906000901559550 BJ01_cat
BINARY is 200906001187286576 Class
BINARY SubClassOf 200906001187286576 200906049689702967
BINARY is 200906001337918223 Class
BINARY SubClassOf 200906001337918223 200906049689702967
BINARY is 200906001786586596 Class
BINARY SubClassOf 200906001786586596 200906049689702967
BINARY is 200906001930382895 Class
BINARY SubClassOf 200906001930382895 200906049689702967
BINARY is 200906002131245423 Class
BINARY SubClassOf 200906002131245423 200906049689702967
BINARY is 200906002251617650 Class
BINARY SubClassOf 200906002251617650 200906049689702967
BINARY is 200906002394929904 Class
BINARY SubClassOf 200906002394929904 200906049689702967
BINARY is 200906002638580461 Class
BINARY SubClassOf 200906002638580461 200906049689702967
BINARY is 200906003166043668 Class
BINARY SubClassOf 200906003166043668 200906049689702967
BINARY is 200906003475439177 Class
BINARY SubClassOf 200906003475439177 BJ01_cat
BINARY is 200906003804654670 Class
BINARY SubClassOf 200906003804654670 200906049689702967
BINARY is 200906004023347379 Class
BINARY SubClassOf 200906004023347379 200906049689702967
BINARY is 200906004270409042 Class
BINARY SubClassOf 200906004270409042 200906049689702967
BINARY is 200906004294523822 Class
BINARY SubClassOf 200906004294523822 200906049689702967
BINARY is 200906004480111046 Class
BINARY SubClassOf 200906004480111046 BJ01_cat
BINARY is 200906005772758500 Class
BINARY SubClassOf 200906005772758500 200906049689702967
BINARY is 200906006096405728 Class
BINARY SubClassOf 200906006096405728 200906049689702967
BINARY is 200906006251444069 Class
BINARY SubClassOf 200906006251444069 200906049689702967
BINARY is 200906006421691139 Class
BINARY SubClassOf 200906006421691139 BJ01_cat
BINARY is 200906006983777508 Class
BINARY SubClassOf 200906006983777508 200906049689702967
BINARY is 200906007007992263 Class
BINARY SubClassOf 200906007007992263 CC21_cat
BINARY is 200906007048475508 Class
BINARY SubClassOf 200906007048475508 200906049689702967
BINARY is 200906007219011190 Class
BINARY SubClassOf 200906007219011190 BJ01_cat
BINARY is 200906007372639149 Class
BINARY SubClassOf 200906007372639149 200906049689702967
BINARY is 200906007556694185 Class
BINARY SubClassOf 200906007556694185 BJ01_cat
BINARY is 200906007684940237 Class
BINARY SubClassOf 200906007684940237 BJ01_cat
BINARY is 200906008620074532 Class
BINARY SubClassOf 200906008620074532 200906049689702967
BINARY is 200906008689046930 Class
BINARY SubClassOf 200906008689046930 200906049689702967
BINARY is 200906008835967210 Class
BINARY SubClassOf 200906008835967210 BJ01_cat
BINARY is 200906008952088847 Class
BINARY SubClassOf 200906008952088847 200906049689702967
BINARY is 200906009281387417 Class
BINARY SubClassOf 200906009281387417 200906049689702967
BINARY is 200906009517949446 Class
BINARY SubClassOf 200906009517949446 200906049689702967
BINARY is 200906009721120027 Class
BINARY SubClassOf 200906009721120027 200906049689702967
BINARY is 200906009845672176 Class
BINARY SubClassOf 200906009845672176 200906049689702967
BINARY is 200906009920077491 Class
BINARY SubClassOf 200906009920077491 200906049689702967
BINARY is 200906009922598200 Class
BINARY SubClassOf 200906009922598200 200906049689702967
BINARY is 200906010295940141 Class
BINARY SubClassOf 200906010295940141 200906049689702967
BINARY is 200906010318810950 Class
BINARY SubClassOf 200906010318810950 200906049689702967
BINARY is 200906010485535200 Class
BINARY SubClassOf 200906010485535200 200906049689702967
BINARY is 200906010807665342 Class
BINARY SubClassOf 200906010807665342 CC21_cat
BINARY is 200906010818584492 Class
BINARY SubClassOf 200906010818584492 200906049689702967
BINARY is 200906010852824290 Class
BINARY SubClassOf 200906010852824290 200906049689702967
BINARY is 200906011000330009 Class
BINARY SubClassOf 200906011000330009 BJ01_cat
BINARY is 200906011279305483 Class
BINARY SubClassOf 200906011279305483 200906049689702967
BINARY is 200906011356290702 Class
BINARY SubClassOf 200906011356290702 200906049689702967
BINARY is 200906011616119743 Class
BINARY SubClassOf 200906011616119743 200906049689702967
BINARY is 200906011823246062 Class
BINARY SubClassOf 200906011823246062 BJ01_cat
BINARY is 200906011835163693 Class
BINARY SubClassOf 200906011835163693 200906049689702967
BINARY is 200906012063377168 Class
BINARY SubClassOf 200906012063377168 200906049689702967
BINARY is 200906012556877038 Class
BINARY SubClassOf 200906012556877038 200906049689702967
BINARY is 200906012833565707 Class
BINARY SubClassOf 200906012833565707 200906049689702967
BINARY is 200906012872014009 Class
BINARY SubClassOf 200906012872014009 200906049689702967
BINARY is 200906013122126596 Class
BINARY SubClassOf 200906013122126596 200906049689702967
BINARY is 200906013355024254 Class
BINARY SubClassOf 200906013355024254 200906049689702967
BINARY is 200906013388762625 Class
BINARY SubClassOf 200906013388762625 200906049689702967
BINARY is 200906013477575545 Class
BINARY SubClassOf 200906013477575545 200906049689702967
BINARY is 200906013668581235 Class
BINARY SubClassOf 200906013668581235 200906049689702967
BINARY is 200906013670985408 Class
BINARY SubClassOf 200906013670985408 BJ01_cat
BINARY is 200906014135627400 Class
BINARY SubClassOf 200906014135627400 200906049689702967
BINARY is 200906014427168104 Class
BINARY SubClassOf 200906014427168104 200906049689702967
BINARY is 200906014676463183 Class
BINARY SubClassOf 200906014676463183 200906049689702967
BINARY is 200906014806491974 Class
BINARY SubClassOf 200906014806491974 200906049689702967
BINARY is 200906014899095283 Class
BINARY SubClassOf 200906014899095283 200906049689702967
BINARY is 200906015344035575 Class
BINARY SubClassOf 200906015344035575 200906049689702967
BINARY is 200906015404601397 Class
BINARY SubClassOf 200906015404601397 200906049689702967
BINARY is 200906015607415513 Class
BINARY SubClassOf 200906015607415513 200906049689702967
BINARY is 200906016364906862 Class
BINARY SubClassOf 200906016364906862 200906049689702967
BINARY is 200906016705672954 Class
BINARY SubClassOf 200906016705672954 200906049689702967
BINARY is 200906016905274104 Class
BINARY SubClassOf 200906016905274104 200906049689702967
BINARY is 200906016930980188 Class
BINARY SubClassOf 200906016930980188 BJ01_cat
BINARY is 200906017266048536 Class
BINARY SubClassOf 200906017266048536 200906049689702967
BINARY is 200906017381393760 Class
BINARY SubClassOf 200906017381393760 200906049689702967
BINARY is 200906017960843637 Class
BINARY SubClassOf 200906017960843637 200906049689702967
BINARY is 200906017997701972 Class
BINARY SubClassOf 200906017997701972 200906049689702967
BINARY is 200906018158348139 Class
BINARY SubClassOf 200906018158348139 200906049689702967
BINARY is 200906018277752029 Class
BINARY SubClassOf 200906018277752029 200906049689702967
BINARY is 200906019351428421 Class
BINARY SubClassOf 200906019351428421 200906049689702967
BINARY is 200906019498055248 Class
BINARY SubClassOf 200906019498055248 200906049689702967
BINARY is 200906019556502012 Class
BINARY SubClassOf 200906019556502012 200906049689702967
BINARY is 200906019653172183 Class
BINARY SubClassOf 200906019653172183 200906049689702967
BINARY is 200906020037778742 Class
BINARY SubClassOf 200906020037778742 200906049689702967
BINARY is 200906020360370817 Class
BINARY SubClassOf 200906020360370817 200906049689702967
BINARY is 200906020561285176 Class
BINARY SubClassOf 200906020561285176 200906049689702967
BINARY is 200906020620238683 Class
BINARY SubClassOf 200906020620238683 BJ01_cat
BINARY is 200906020637185400 Class
BINARY SubClassOf 200906020637185400 BJ01_cat
BINARY is 200906020803154390 Class
BINARY SubClassOf 200906020803154390 BJ01_cat
BINARY is 200906020901743506 Class
BINARY SubClassOf 200906020901743506 200906049689702967
BINARY is 200906021005878172 Class
BINARY SubClassOf 200906021005878172 200906049689702967
BINARY is 200906021201645674 Class
BINARY SubClassOf 200906021201645674 200906049689702967
BINARY is 200906021449290309 Class
BINARY SubClassOf 200906021449290309 200906049689702967
BINARY is 200906021684101599 Class
BINARY SubClassOf 200906021684101599 200906049689702967
BINARY is 200906022113379880 Class
BINARY SubClassOf 200906022113379880 200906049689702967
BINARY is 200906022125221602 Class
BINARY SubClassOf 200906022125221602 200906049689702967
BINARY is 200906022308453820 Class
BINARY SubClassOf 200906022308453820 BJ01_cat
BINARY is 200906022626880835 Class
BINARY SubClassOf 200906022626880835 200906049689702967
BINARY is 200906022821507839 Class
BINARY SubClassOf 200906022821507839 200906049689702967
BINARY is 200906023035234078 Class
BINARY SubClassOf 200906023035234078 200906049689702967
BINARY is 200906023192454170 Class
BINARY SubClassOf 200906023192454170 200906049689702967
BINARY is 200906023290465350 Class
BINARY SubClassOf 200906023290465350 200906049689702967
BINARY is 200906023356228886 Class
BINARY SubClassOf 200906023356228886 200906049689702967
BINARY is 200906023361143147 Class
BINARY SubClassOf 200906023361143147 200906049689702967
BINARY is 200906023402251952 Class
BINARY SubClassOf 200906023402251952 200906049689702967
BINARY is 200906023554101670 Class
BINARY SubClassOf 200906023554101670 200906049689702967
BINARY is 200906023656121269 Class
BINARY SubClassOf 200906023656121269 200906049689702967
BINARY is 200906023675343957 Class
BINARY SubClassOf 200906023675343957 BJ01_cat
BINARY is 200906023972429003 Class
BINARY SubClassOf 200906023972429003 200906049689702967
BINARY is 200906024254779426 Class
BINARY SubClassOf 200906024254779426 200906049689702967
BINARY is 200906024321081110 Class
BINARY SubClassOf 200906024321081110 200906049689702967
BINARY is 200906024323992331 Class
BINARY SubClassOf 200906024323992331 200906049689702967
BINARY is 200906024358888154 Class
BINARY SubClassOf 200906024358888154 200906049689702967
BINARY is 200906024519316997 Class
BINARY SubClassOf 200906024519316997 200906049689702967
BINARY is 200906024715856886 Class
BINARY SubClassOf 200906024715856886 200906049689702967
BINARY is 200906024757784320 Class
BINARY SubClassOf 200906024757784320 BJ01_cat
BINARY is 200906025009300979 Class
BINARY SubClassOf 200906025009300979 200906049689702967
BINARY is 200906025481096420 Class
BINARY SubClassOf 200906025481096420 200906049689702967
BINARY is 200906026064506680 Class
BINARY SubClassOf 200906026064506680 200906049689702967
BINARY is 200906026105560929 Class
BINARY SubClassOf 200906026105560929 200906049689702967
BINARY is 200906026182404999 Class
BINARY SubClassOf 200906026182404999 200906049689702967
BINARY is 200906026463703340 Class
BINARY SubClassOf 200906026463703340 200906049689702967
BINARY is 200906026582571630 Class
BINARY SubClassOf 200906026582571630 200906049689702967
BINARY is 200906026712340164 Class
BINARY SubClassOf 200906026712340164 200906049689702967
BINARY is 200906026866463714 Class
BINARY SubClassOf 200906026866463714 200906049689702967
BINARY is 200906027018060118 Class
BINARY SubClassOf 200906027018060118 200906049689702967
BINARY is 200906027152934990 Class
BINARY SubClassOf 200906027152934990 BJ01_cat
BINARY is 200906027445234968 Class
BINARY SubClassOf 200906027445234968 BJ01_cat
BINARY is 200906027536507096 Class
BINARY SubClassOf 200906027536507096 200906049689702967
BINARY is 200906027889855624 Class
BINARY SubClassOf 200906027889855624 CC21_cat
BINARY is 200906027911363544 Class
BINARY SubClassOf 200906027911363544 200906049689702967
BINARY is 200906028031263032 Class
BINARY SubClassOf 200906028031263032 200906049689702967
BINARY is 200906028348808689 Class
BINARY SubClassOf 200906028348808689 200906049689702967
BINARY is 200906028627467573 Class
BINARY SubClassOf 200906028627467573 BJ01_cat
BINARY is 200906028701678247 Class
BINARY SubClassOf 200906028701678247 200906049689702967
BINARY is 200906028812843042 Class
BINARY SubClassOf 200906028812843042 200906049689702967
BINARY is 200906028905642497 Class
BINARY SubClassOf 200906028905642497 200906049689702967
BINARY is 200906029063517466 Class
BINARY SubClassOf 200906029063517466 200906049689702967
BINARY is 200906029162375720 Class
BINARY SubClassOf 200906029162375720 BJ01_cat
BINARY is 200906029659314260 Class
BINARY SubClassOf 200906029659314260 200906049689702967
BINARY is 200906029739469150 Class
BINARY SubClassOf 200906029739469150 200906049689702967
BINARY is 200906030298413666 Class
BINARY SubClassOf 200906030298413666 200906049689702967
BINARY is 200906030980779699 Class
BINARY SubClassOf 200906030980779699 BJ01_cat
BINARY is 200906031359512731 Class
BINARY SubClassOf 200906031359512731 CC21_cat
BINARY is 200906031463183502 Class
BINARY SubClassOf 200906031463183502 200906049689702967
BINARY is 200906031647953670 Class
BINARY SubClassOf 200906031647953670 200906049689702967
BINARY is 200906031983505049 Class
BINARY SubClassOf 200906031983505049 200906049689702967
BINARY is 200906032034821629 Class
BINARY SubClassOf 200906032034821629 200906049689702967
BINARY is 200906032132140265 Class
BINARY SubClassOf 200906032132140265 BJ01_cat
BINARY is 200906032607084233 Class
BINARY SubClassOf 200906032607084233 200906049689702967
BINARY is 200906032846933323 Class
BINARY SubClassOf 200906032846933323 BJ01_cat
BINARY is 200906032869979649 Class
BINARY SubClassOf 200906032869979649 200906049689702967
BINARY is 200906033559981739 Class
BINARY SubClassOf 200906033559981739 200906049689702967
BINARY is 200906034071897387 Class
BINARY SubClassOf 200906034071897387 200906049689702967
BINARY is 200906034336565241 Class
BINARY SubClassOf 200906034336565241 200906049689702967
BINARY is 200906035227750000 Class
BINARY SubClassOf 200906035227750000 200906049689702967
BINARY is 200906035323274694 Class
BINARY SubClassOf 200906035323274694 200906049689702967
BINARY is 200906035385308188 Class
BINARY SubClassOf 200906035385308188 200906049689702967
BINARY is 200906035407300615 Class
BINARY SubClassOf 200906035407300615 200906049689702967
BINARY is 200906036265132716 Class
BINARY SubClassOf 200906036265132716 BJ01_cat
BINARY is 200906036591290771 Class
BINARY SubClassOf 200906036591290771 200906049689702967
BINARY is 200906037058572141 Class
BINARY SubClassOf 200906037058572141 200906049689702967
BINARY is 200906037069395608 Class
BINARY SubClassOf 200906037069395608 200906049689702967
BINARY is 200906037152146318 Class
BINARY SubClassOf 200906037152146318 200906049689702967
BINARY is 200906037765795173 Class
BINARY SubClassOf 200906037765795173 200906049689702967
BINARY is 200906037906413717 Class
BINARY SubClassOf 200906037906413717 200906049689702967
BINARY is 200906037937838490 Class
BINARY SubClassOf 200906037937838490 BJ01_cat
BINARY is 200906037964716649 Class
BINARY SubClassOf 200906037964716649 200906049689702967
BINARY is 200906037966289888 Class
BINARY SubClassOf 200906037966289888 200906049689702967
BINARY is 200906037988786958 Class
BINARY SubClassOf 200906037988786958 200906049689702967
BINARY is 200906038363615426 Class
BINARY SubClassOf 200906038363615426 200906049689702967
BINARY is 200906038655201762 Class
BINARY SubClassOf 200906038655201762 200906049689702967
BINARY is 200906038917037330 Class
BINARY SubClassOf 200906038917037330 200906049689702967
BINARY is 200906038932690725 Class
BINARY SubClassOf 200906038932690725 200906049689702967
BINARY is 200906039231950419 Class
BINARY SubClassOf 200906039231950419 CC21_cat
BINARY is 200906039542863471 Class
BINARY SubClassOf 200906039542863471 200906049689702967
BINARY is 200906039764686586 Class
BINARY SubClassOf 200906039764686586 200906049689702967
BINARY is 200906040441637762 Class
BINARY SubClassOf 200906040441637762 BJ01_cat
BINARY is 200906040898455864 Class
BINARY SubClassOf 200906040898455864 200906049689702967
BINARY is 200906041114377419 Class
BINARY SubClassOf 200906041114377419 200906049689702967
BINARY is 200906041585801261 Class
BINARY SubClassOf 200906041585801261 200906049689702967
BINARY is 200906041632461598 Class
BINARY SubClassOf 200906041632461598 BJ01_cat
BINARY is 200906042190751016 Class
BINARY SubClassOf 200906042190751016 200906049689702967
BINARY is 200906042585430480 Class
BINARY SubClassOf 200906042585430480 BJ01_cat
BINARY is 200906042603828381 Class
BINARY SubClassOf 200906042603828381 200906049689702967
BINARY is 200906043392943037 Class
BINARY SubClassOf 200906043392943037 200906049689702967
BINARY is 200906044144241839 Class
BINARY SubClassOf 200906044144241839 200906049689702967
BINARY is 200906044160162930 Class
BINARY SubClassOf 200906044160162930 200906049689702967
BINARY is 200906044241608127 Class
BINARY SubClassOf 200906044241608127 200906049689702967
BINARY is 200906044318827757 Class
BINARY SubClassOf 200906044318827757 BJ01_cat
BINARY is 200906044384177860 Class
BINARY SubClassOf 200906044384177860 200906049689702967
BINARY is 200906044480099765 Class
BINARY SubClassOf 200906044480099765 200906049689702967
BINARY is 200906044567336933 Class
BINARY SubClassOf 200906044567336933 200906049689702967
BINARY is 200906044592030539 Class
BINARY SubClassOf 200906044592030539 BJ01_cat
BINARY is 200906044593883160 Class
BINARY SubClassOf 200906044593883160 200906049689702967
BINARY is 200906044614319171 Class
BINARY SubClassOf 200906044614319171 200906049689702967
BINARY is 200906044665870395 Class
BINARY SubClassOf 200906044665870395 200906049689702967
BINARY is 200906044748299142 Class
BINARY SubClassOf 200906044748299142 200906049689702967
BINARY is 200906044833496860 Class
BINARY SubClassOf 200906044833496860 200906049689702967
BINARY is 200906044983103409 Class
BINARY SubClassOf 200906044983103409 200906049689702967
BINARY is 200906045599303480 Class
BINARY SubClassOf 200906045599303480 200906049689702967
BINARY is 200906046433118738 Class
BINARY SubClassOf 200906046433118738 200906049689702967
BINARY is 200906046481530500 Class
BINARY SubClassOf 200906046481530500 200906049689702967
BINARY is 200906047309050560 Class
BINARY SubClassOf 200906047309050560 200906049689702967
BINARY is 200906047641904131 Class
BINARY SubClassOf 200906047641904131 200906049689702967
BINARY is 200906047701599724 Class
BINARY SubClassOf 200906047701599724 200906049689702967
BINARY is 200906047871863515 Class
BINARY SubClassOf 200906047871863515 200906049689702967
BINARY is 200906048006438929 Class
BINARY SubClassOf 200906048006438929 200906049689702967
BINARY is 200906048065595566 Class
BINARY SubClassOf 200906048065595566 200906049689702967
BINARY is 200906048275207720 Class
BINARY SubClassOf 200906048275207720 BJ01_cat
BINARY is 200906048334453994 Class
BINARY SubClassOf 200906048334453994 BJ01_cat
BINARY is 200906048601904690 Class
BINARY SubClassOf 200906048601904690 200906049689702967
BINARY is 200906048807127682 Class
BINARY SubClassOf 200906048807127682 BJ01_cat
BINARY is 200906049007809587 Class
BINARY SubClassOf 200906049007809587 200906049689702967
BINARY is 200906049054358941 Class
BINARY SubClassOf 200906049054358941 200906049689702967
BINARY is 200906049100665374 Class
BINARY SubClassOf 200906049100665374 200906049689702967
BINARY is 200906049295797806 Class
BINARY SubClassOf 200906049295797806 200906049689702967
BINARY is 200906049689702967 Class
BINARY SubClassOf 200906049689702967 200906059130447350
BINARY is 200906049963339092 Class
BINARY SubClassOf 200906049963339092 200906049689702967
BINARY is 200906050201294715 Class
BINARY SubClassOf 200906050201294715 200906049689702967
BINARY is 200906050360846141 Class
BINARY SubClassOf 200906050360846141 200906049689702967
BINARY is 200906050388887293 Class
BINARY SubClassOf 200906050388887293 200906049689702967
BINARY is 200906050917216200 Class
BINARY SubClassOf 200906050917216200 200906049689702967
BINARY is 200906051647364950 Class
BINARY SubClassOf 200906051647364950 200906049689702967
BINARY is 200906052002964020 Class
BINARY SubClassOf 200906052002964020 BJ01_cat
BINARY is 200906052086126245 Class
BINARY SubClassOf 200906052086126245 200906049689702967
BINARY is 200906052631916100 Class
BINARY SubClassOf 200906052631916100 200906049689702967
BINARY is 200906052687951502 Class
BINARY SubClassOf 200906052687951502 BJ01_cat
BINARY is 200906052704337376 Class
BINARY SubClassOf 200906052704337376 200906049689702967
BINARY is 200906052758454483 Class
BINARY SubClassOf 200906052758454483 200906049689702967
BINARY is 200906053014564600 Class
BINARY SubClassOf 200906053014564600 200906049689702967
BINARY is 200906053204919359 Class
BINARY SubClassOf 200906053204919359 200906049689702967
BINARY is 200906053266708320 Class
BINARY SubClassOf 200906053266708320 200906049689702967
BINARY is 200906053305188568 Class
BINARY SubClassOf 200906053305188568 BJ01_cat
BINARY is 200906053446692502 Class
BINARY SubClassOf 200906053446692502 200906049689702967
BINARY is 200906053705418945 Class
BINARY SubClassOf 200906053705418945 200906049689702967
BINARY is 200906053999775783 Class
BINARY SubClassOf 200906053999775783 200906049689702967
BINARY is 200906054355929239 Class
BINARY SubClassOf 200906054355929239 200906049689702967
BINARY is 200906054560903226 Class
BINARY SubClassOf 200906054560903226 200906049689702967
BINARY is 200906054577058830 Class
BINARY SubClassOf 200906054577058830 BJ01_cat
BINARY is 200906054614420188 Class
BINARY SubClassOf 200906054614420188 BJ01_cat
BINARY is 200906054710002010 Class
BINARY SubClassOf 200906054710002010 200906049689702967
BINARY is 200906055059613192 Class
BINARY SubClassOf 200906055059613192 200906049689702967
BINARY is 200906055444488900 Class
BINARY SubClassOf 200906055444488900 200906049689702967
BINARY is 200906056123039450 Class
BINARY SubClassOf 200906056123039450 200906049689702967
BINARY is 200906056459590970 Class
BINARY SubClassOf 200906056459590970 BJ01_cat
BINARY is 200906056746007681 Class
BINARY SubClassOf 200906056746007681 200906049689702967
BINARY is 200906056956522309 Class
BINARY SubClassOf 200906056956522309 200906049689702967
BINARY is 200906057112471713 Class
BINARY SubClassOf 200906057112471713 200906049689702967
BINARY is 200906057232490223 Class
BINARY SubClassOf 200906057232490223 BJ01_cat
BINARY is 200906057250915142 Class
BINARY SubClassOf 200906057250915142 200906049689702967
BINARY is 200906057289786684 Class
BINARY SubClassOf 200906057289786684 BJ01_cat
BINARY is 200906057404606130 Class
BINARY SubClassOf 200906057404606130 200906049689702967
BINARY is 200906057446701175 Class
BINARY SubClassOf 200906057446701175 200906049689702967
BINARY is 200906057593478260 Class
BINARY SubClassOf 200906057593478260 200906049689702967
BINARY is 200906057643561482 Class
BINARY SubClassOf 200906057643561482 200906049689702967
BINARY is 200906058037344502 Class
BINARY SubClassOf 200906058037344502 200906049689702967
BINARY is 200906058159289227 Class
BINARY SubClassOf 200906058159289227 200906049689702967
BINARY is 200906058339264389 Class
BINARY SubClassOf 200906058339264389 BJ01_cat
BINARY is 200906058361655006 Class
BINARY SubClassOf 200906058361655006 200906049689702967
BINARY is 200906058450255356 Class
BINARY SubClassOf 200906058450255356 200906049689702967
BINARY is 200906058776444388 Class
BINARY SubClassOf 200906058776444388 CC21_cat
BINARY is 200906059130447350 Class
BINARY is 200906059419826090 Class
BINARY SubClassOf 200906059419826090 200906049689702967
