BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is N0000000002 Class
BINARY SubClassOf N0000000002 BFO_0000040
BINARY is N0000004336 Class
BINARY SubClassOf N0000004336 N0000008048
BINARY is N0000004524 Class
BINARY SubClassOf N0000004524 N0000007740,
BINARY SubClassOf N0000004524 N0000008103
BINARY is N0000004738 Class
BINARY SubClassOf N0000004738 N0000167044
BINARY is N0000005131 Class
BINARY SubClassOf N0000005131 N0000007731,
BINARY SubClassOf N0000005131 N0000011324
BINARY is N0000005694 Class
BINARY SubClassOf N0000005694 N0000008052
BINARY is N0000005709 Class
BINARY SubClassOf N0000005709 N0000007523
BINARY is N0000005723 Class
BINARY SubClassOf N0000005723 N0000000002
BINARY is N0000005740 Class
BINARY SubClassOf N0000005740 N0000007583
BINARY is N0000005746 Class
BINARY SubClassOf N0000005746 N0000008048
BINARY is N0000005760 Class
BINARY SubClassOf N0000005760 N0000007582
BINARY is N0000005761 Class
BINARY SubClassOf N0000005761 N0000007548
BINARY is N0000005776 Class
BINARY SubClassOf N0000005776 N0000007663
BINARY is N0000005817 Class
BINARY SubClassOf N0000005817 N0000007833
BINARY is N0000005843 Class
BINARY SubClassOf N0000005843 N0000007927,
BINARY SubClassOf N0000005843 N0000008087
BINARY is N0000005849 Class
BINARY SubClassOf N0000005849 N0000007570
BINARY is N0000005874 Class
BINARY SubClassOf N0000005874 N0000007499
BINARY is N0000005890 Class
BINARY SubClassOf N0000005890 N0000007853
BINARY is N0000005892 Class
BINARY SubClassOf N0000005892 N0000007894
BINARY is N0000005908 Class
BINARY SubClassOf N0000005908 N0000007618
BINARY is N0000005928 Class
BINARY SubClassOf N0000005928 N0000007592,
BINARY SubClassOf N0000005928 N0000175721
BINARY is N0000005941 Class
BINARY SubClassOf N0000005941 N0000007621
BINARY is N0000005942 Class
BINARY SubClassOf N0000005942 N0000007472
BINARY is N0000005951 Class
BINARY SubClassOf N0000005951 N0000007733
BINARY is N0000005981 Class
BINARY SubClassOf N0000005981 N0000007725
BINARY is N0000005988 Class
BINARY SubClassOf N0000005988 N0000007929
BINARY is N0000005996 Class
BINARY SubClassOf N0000005996 N0000008098,
BINARY SubClassOf N0000005996 N0000011255
BINARY is N0000006013 Class
BINARY SubClassOf N0000006013 N0000166781
BINARY is N0000006015 Class
BINARY SubClassOf N0000006015 N0000166781
BINARY is N0000006026 Class
BINARY SubClassOf N0000006026 N0000007911
BINARY is N0000006027 Class
BINARY SubClassOf N0000006027 N0000008113
BINARY is N0000006045 Class
BINARY SubClassOf N0000006045 N0000007570
BINARY is N0000006048 Class
BINARY SubClassOf N0000006048 N0000007863
BINARY is N0000006054 Class
BINARY SubClassOf N0000006054 N0000008048
BINARY is N0000006080 Class
BINARY SubClassOf N0000006080 N0000007990
BINARY is N0000006115 Class
BINARY SubClassOf N0000006115 N0000007536
BINARY is N0000006127 Class
BINARY SubClassOf N0000006127 N0000007725
BINARY is N0000006147 Class
BINARY SubClassOf N0000006147 N0000007634
BINARY is N0000006185 Class
BINARY SubClassOf N0000006185 N0000000002
BINARY is N0000006201 Class
BINARY SubClassOf N0000006201 N0000007962
BINARY is N0000006354 Class
BINARY SubClassOf N0000006354 N0000007621
BINARY is N0000006367 Class
BINARY SubClassOf N0000006367 N0000007753
BINARY is N0000006386 Class
BINARY SubClassOf N0000006386 N0000007540
BINARY is N0000006417 Class
BINARY SubClassOf N0000006417 N0000007679
BINARY is N0000006422 Class
BINARY SubClassOf N0000006422 N0000007929
BINARY is N0000006461 Class
BINARY SubClassOf N0000006461 N0000007593
BINARY is N0000006467 Class
BINARY SubClassOf N0000006467 N0000007731
BINARY is N0000006471 Class
BINARY SubClassOf N0000006471 N0000182125
BINARY is N0000006529 Class
BINARY SubClassOf N0000006529 N0000007646,
BINARY SubClassOf N0000006529 N0000008053
BINARY is N0000006566 Class
BINARY SubClassOf N0000006566 N0000008029
BINARY is N0000006574 Class
BINARY SubClassOf N0000006574 N0000006566,
BINARY SubClassOf N0000006574 N0000008159
BINARY is N0000006590 Class
BINARY SubClassOf N0000006590 N0000007520,
BINARY SubClassOf N0000006590 N0000007929
BINARY is N0000006605 Class
BINARY SubClassOf N0000006605 N0000007529
BINARY is N0000006620 Class
BINARY SubClassOf N0000006620 N0000007676
BINARY is N0000006648 Class
BINARY SubClassOf N0000006648 N0000007681
BINARY is N0000006649 Class
BINARY SubClassOf N0000006649 N0000007658
BINARY is N0000006670 Class
BINARY SubClassOf N0000006670 N0000007793
BINARY is N0000006672 Class
BINARY SubClassOf N0000006672 N0000007552,
BINARY SubClassOf N0000006672 N0000166599
BINARY is N0000006682 Class
BINARY SubClassOf N0000006682 N0000007524
BINARY is N0000006684 Class
BINARY SubClassOf N0000006684 N0000007812
BINARY is N0000006686 Class
BINARY SubClassOf N0000006686 N0000008041
BINARY is N0000006692 Class
BINARY SubClassOf N0000006692 N0000007679
BINARY is N0000006708 Class
BINARY SubClassOf N0000006708 N0000007507
BINARY is N0000006718 Class
BINARY SubClassOf N0000006718 N0000007820,
BINARY SubClassOf N0000006718 N0000008014
BINARY is N0000006724 Class
BINARY SubClassOf N0000006724 N0000007503
BINARY is N0000006753 Class
BINARY SubClassOf N0000006753 N0000007927
BINARY is N0000006756 Class
BINARY SubClassOf N0000006756 N0000007832,
