BINARY is measuresUsingProtocol ObjectProperty
BINARY is Entity Class
BINARY DisjointWith Entity MeasurementType
BINARY is MeasurementType Class
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, measuresUsingProtocol_some_Protocol
BINARY DisjointWith Thing, Protocol
BINARY DisjointWith Thing, Entity
BINARY is Protocol Class
BINARY DisjointWith Protocol MeasurementType
BINARY is ECSO_00000514 Class
BINARY SubClassOf ECSO_00000514 MeasurementType
BINARY is ECSO_00000519 Class
BINARY SubClassOf ECSO_00000519 MeasurementType
BINARY is ECSO_00000524 Class
BINARY SubClassOf ECSO_00000524 MeasurementType
BINARY is ECSO_00000553 Class
BINARY SubClassOf ECSO_00000553 MeasurementType
BINARY is ECSO_00000629 Class
BINARY SubClassOf ECSO_00000629 MeasurementType
BINARY is ECSO_00000656 Class
BINARY SubClassOf ECSO_00000656 MeasurementType
BINARY is ECSO_00000665 Class
BINARY SubClassOf ECSO_00000665 MeasurementType
BINARY is ECSO_00000667 Class
BINARY SubClassOf ECSO_00000667 MeasurementType
BINARY is ECSO_00001101 Class
BINARY SubClassOf ECSO_00001101 MeasurementType
BINARY is ECSO_00001104 Class
BINARY SubClassOf ECSO_00001104 MeasurementType
BINARY is ECSO_00001117 Class
BINARY SubClassOf ECSO_00001117 MeasurementType
BINARY is ECSO_00001141 Class
BINARY SubClassOf ECSO_00001141 MeasurementType
BINARY is ECSO_00001167 Class
BINARY SubClassOf ECSO_00001167 MeasurementType
BINARY is ECSO_00001168 Class
BINARY SubClassOf ECSO_00001168 MeasurementType
BINARY is ECSO_00001185 Class
BINARY SubClassOf ECSO_00001185 MeasurementType
BINARY is ECSO_00001198 Class
BINARY SubClassOf ECSO_00001198 MeasurementType
BINARY is ECSO_00001199 Class
BINARY SubClassOf ECSO_00001199 MeasurementType
BINARY is ECSO_00001236 Class
BINARY SubClassOf ECSO_00001236 MeasurementType
BINARY is ECSO_00001242 Class
BINARY SubClassOf ECSO_00001242 MeasurementType
BINARY is ECSO_00001504 Class
BINARY SubClassOf ECSO_00001504 MeasurementType
BINARY is ECSO_00001534 Class
BINARY SubClassOf ECSO_00001534 MeasurementType
BINARY is ECSO_00001570 Class
BINARY SubClassOf ECSO_00001570 MeasurementType
BINARY is ECSO_00001719 Class
BINARY SubClassOf ECSO_00001719 MeasurementType
BINARY is ECSO_00001735 Class
BINARY SubClassOf ECSO_00001735 MeasurementType
BINARY is ECSO_00002114 Class
BINARY SubClassOf ECSO_00002114 MeasurementType
BINARY is ECSO_00002193 Class
BINARY SubClassOf ECSO_00002193 MeasurementType
BINARY is ECSO_00002298 Class
BINARY SubClassOf ECSO_00002298 MeasurementType
BINARY is ECSO_00002428 Class
BINARY SubClassOf ECSO_00002428 MeasurementType
BINARY is ECSO_00002519 Class
BINARY SubClassOf ECSO_00002519 MeasurementType
BINARY is ECSO_00002542 Class
BINARY SubClassOf ECSO_00002542 MeasurementType
BINARY is ECSO_00002726 Class
BINARY SubClassOf ECSO_00002726 MeasurementType
BINARY is ECSO_00003082 Class
BINARY SubClassOf ECSO_00003082 MeasurementType
BINARY is ENVO_04000000 Class
BINARY SubClassOf ENVO_04000000 MeasurementType
BINARY is www.w3.org/2002/07/# Class
