BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is NEMO_0493000 purl.bioontology.org/NEMO/ontology/NEMO.#
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is NEMO_9128000 purl.bioontology.org/NEMO/ontology/NEMO.#
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is NEMO_3331000 purl.bioontology.org/NEMO/ontology/NEMO.#
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY is NEMO_2426000 purl.bioontology.org/NEMO/ontology/NEMO.#
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
BINARY SubClassOf purl.bioontology.org/NEMO/ontology/NEMO.# IAO_0000009
BINARY is purl.bioontology.org/NEMO/ontology/NEMO.# Class
