BINARY is float Datatype
BINARY is BFO_0000050 ObjectProperty
BINARY is BFO_0000051 ObjectProperty
BINARY is BFO_0000055 ObjectProperty
BINARY is IAO_0000136 ObjectProperty
BINARY is IAO_0000219 ObjectProperty
BINARY is IAO_0000221 ObjectProperty
BINARY Domain IAO_0000221 IAO_0000109
BINARY Range IAO_0000221 BFO_0000019
BINARY InverseOf IAO_0000221 IAO_0000417
BINARY is IAO_0000407 ObjectProperty
BINARY Characteristics IAO_0000407 Functional
BINARY Domain IAO_0000407 IAO_0000400
BINARY Range IAO_0000407 UO_0000001
BINARY is IAO_0000417 ObjectProperty
BINARY InverseOf IAO_0000417 IAO_0000221
BINARY is IAO_0020013 ObjectProperty
BINARY Characteristics IAO_0020013 Irreflexive
BINARY Domain IAO_0020013 IAO_0020000
BINARY Range IAO_0020013 BFO_0000001
BINARY is OBI_0000312 ObjectProperty
BINARY is RO_0000052 ObjectProperty
BINARY is RO_0000053 ObjectProperty
BINARY is RO_0000056 ObjectProperty
BINARY is RO_0000058 ObjectProperty
BINARY Domain RO_0000058 BFO_0000031
BINARY Range RO_0000058 BFO_0000020
BINARY InverseOf RO_0000058 RO_0000059
BINARY is RO_0000059 ObjectProperty
BINARY InverseOf RO_0000059 RO_0000058
BINARY is RO_0002350 ObjectProperty
BINARY is RO_0010001 ObjectProperty
BINARY Domain RO_0010001 BFO_0000031
BINARY Range RO_0010001 BFO_0000004
BINARY InverseOf RO_0010001 RO_0010002
BINARY is RO_0010002 ObjectProperty
BINARY InverseOf RO_0010002 RO_0010001
BINARY is IAO_0000404 DataProperty
BINARY Characteristics IAO_0000404 Functional
BINARY Domain IAO_0000404 IAO_0000400
BINARY Range IAO_0000404 float
BINARY is IAO_0000405 DataProperty
BINARY Characteristics IAO_0000405 Functional
BINARY Domain IAO_0000405 IAO_0000400
BINARY Range IAO_0000405 float
BINARY is IAO_0000406 DataProperty
BINARY Characteristics IAO_0000406 Functional
BINARY Domain IAO_0000406 IAO_0000400
BINARY Range IAO_0000406 float
BINARY is C49474 Class
BINARY SubClassOf C49474 IAO_0020020
BINARY is APOLLO_SV_00000032 Class
BINARY equiv APOLLO_SV_00000032 IAO_0000027_and_(OBI_0000312_some_APOLLO_SV_00000033)
BINARY SubClassOf APOLLO_SV_00000032 IAO_0000027,
BINARY SubClassOf APOLLO_SV_00000032 IAO_0000109,
BINARY SubClassOf APOLLO_SV_00000032 OBI_0000312_some_APOLLO_SV_00000033
BINARY is APOLLO_SV_00000033 Class
BINARY is APOLLO_SV_00000242 Class
BINARY SubClassOf APOLLO_SV_00000242 APOLLO_SV_00000395
BINARY is APOLLO_SV_00000376 Class
BINARY SubClassOf APOLLO_SV_00000376 APOLLO_SV_00000395
BINARY is APOLLO_SV_00000395 Class
BINARY SubClassOf APOLLO_SV_00000395 IAO_0020000
BINARY is APOLLO_SV_00000429 Class
BINARY SubClassOf APOLLO_SV_00000429 APOLLO_SV_00000395
BINARY is APOLLO_SV_00000522 Class
BINARY SubClassOf APOLLO_SV_00000522 IAO_0000310,
BINARY SubClassOf APOLLO_SV_00000522 BFO_0000051_some_IAO_0000096,
BINARY SubClassOf APOLLO_SV_00000522 BFO_0000051_some
BINARY SubClassOf APOLLO_SV_00000522 (IAO_0000027_and_(IAO_0000136_some_IAO_0000096))
BINARY is APOLLO_SV_00000532 Class
BINARY is BFO_0000001 Class
BINARY is BFO_0000002 Class
BINARY is BFO_0000004 Class
BINARY DisjointWith BFO_0000004 BFO_0000031
BINARY is BFO_0000015 Class
BINARY is BFO_0000018 Class
BINARY is BFO_0000019 Class
BINARY is BFO_0000020 Class
BINARY DisjointWith BFO_0000020 BFO_0000031
BINARY is BFO_0000031 Class
BINARY SubClassOf BFO_0000031 BFO_0000002,
BINARY SubClassOf BFO_0000031 BFO_0000050_only_BFO_0000031
BINARY DisjointWith BFO_0000031 BFO_0000020
BINARY DisjointWith BFO_0000031 BFO_0000004
BINARY is BFO_0000040 Class
BINARY is GAZ_00000448 Class
BINARY is IAO_0000001 Class
BINARY SubClassOf IAO_0000001 IAO_0000033
BINARY is IAO_0000003 Class
