BINARY is string Datatype
BINARY is www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.# ObjectProperty
BINARY is www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.# ObjectProperty
BINARY is www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.# ObjectProperty
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# ObjectProperty
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# ObjectProperty
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# ObjectProperty
BINARY is SOPHARM_00000 ObjectProperty
BINARY is SOPHARM_00001 ObjectProperty
BINARY is SOPHARM_01100 ObjectProperty
BINARY Domain SOPHARM_01100 SOPHARM_10000
BINARY Range SOPHARM_01100 SOPHARM_61000
BINARY InverseOf SOPHARM_01100 SOPHARM_01101
BINARY is SOPHARM_01101 ObjectProperty
BINARY Domain SOPHARM_01101 SOPHARM_61000
BINARY Range SOPHARM_01101 SOPHARM_10000
BINARY InverseOf SOPHARM_01101 SOPHARM_01100
BINARY is SOPHARM_01200 ObjectProperty
BINARY is family_member www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.#
BINARY Range family_member SOPHARM_12000
BINARY InverseOf family_member SOPHARM_01201
BINARY is SOPHARM_01201 ObjectProperty
BINARY Domain SOPHARM_01201 SOPHARM_12000
BINARY is family_member www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.#
BINARY InverseOf family_member SOPHARM_01200
BINARY is SOPHARM_01300 ObjectProperty
BINARY Domain SOPHARM_01300 SOPHARM_10000
BINARY Range SOPHARM_01300 SOPHARM_12000
BINARY InverseOf SOPHARM_01300 SOPHARM_01301
BINARY is SOPHARM_01301 ObjectProperty
BINARY Domain SOPHARM_01301 SOPHARM_12000
BINARY Range SOPHARM_01301 SOPHARM_10000
BINARY InverseOf SOPHARM_01301 SOPHARM_01300
BINARY is SOPHARM_02100 ObjectProperty
BINARY Characteristics SOPHARM_02100 Functional
BINARY Domain SOPHARM_02100 SOPHARM_23100
BINARY Range SOPHARM_02100 SOPHARM_20000
BINARY InverseOf SOPHARM_02100 SOPHARM_02101
BINARY is SOPHARM_02101 ObjectProperty
BINARY Domain SOPHARM_02101 SOPHARM_20000
BINARY Range SOPHARM_02101 SOPHARM_23100
BINARY InverseOf SOPHARM_02101 SOPHARM_02100
BINARY is SOPHARM_02110 ObjectProperty
BINARY Characteristics SOPHARM_02110 Functional
BINARY Domain SOPHARM_02110 SOPHARM_22000
BINARY Range SOPHARM_02110 SOPHARM_21000
BINARY InverseOf SOPHARM_02110 SOPHARM_02111
BINARY is SOPHARM_02111 ObjectProperty
BINARY Characteristics SOPHARM_02111 InverseFunctional
BINARY Domain SOPHARM_02111 SOPHARM_21000
BINARY Range SOPHARM_02111 SOPHARM_22000
BINARY InverseOf SOPHARM_02111 SOPHARM_02110
BINARY is SOPHARM_02200 ObjectProperty
BINARY Characteristics SOPHARM_02200 Functional
BINARY Domain SOPHARM_02200 SOPHARM_22000
BINARY Range SOPHARM_02200 SOPHARM_22100
BINARY InverseOf SOPHARM_02200 SOPHARM_02201
BINARY is SOPHARM_02201 ObjectProperty
BINARY Characteristics SOPHARM_02201 InverseFunctional
BINARY Domain SOPHARM_02201 SOPHARM_22100
BINARY Range SOPHARM_02201 SOPHARM_22000
BINARY InverseOf SOPHARM_02201 SOPHARM_02200
BINARY is SOPHARM_02310 ObjectProperty
BINARY Characteristics SOPHARM_02310 Functional
BINARY Domain SOPHARM_02310 SOPHARM_23100
BINARY Range SOPHARM_02310 SOPHARM_22000
BINARY InverseOf SOPHARM_02310 SOPHARM_02311
BINARY is SOPHARM_02311 ObjectProperty
BINARY Domain SOPHARM_02311 SOPHARM_22000
BINARY Range SOPHARM_02311 SOPHARM_23100
BINARY InverseOf SOPHARM_02311 SOPHARM_02310
BINARY is SOPHARM_04100 ObjectProperty
BINARY Domain SOPHARM_04100 SOPHARM_30000
BINARY Range SOPHARM_04100 SOPHARM_14200
BINARY InverseOf SOPHARM_04100 SOPHARM_04101
BINARY is SOPHARM_04101 ObjectProperty
BINARY Domain SOPHARM_04101 SOPHARM_14200
BINARY Range SOPHARM_04101 SOPHARM_30000
BINARY InverseOf SOPHARM_04101 SOPHARM_04100
BINARY is SOPHARM_05001 ObjectProperty
BINARY is SOPHARM_05100 ObjectProperty
BINARY Domain SOPHARM_05100 SOPHARM_51000
BINARY Range SOPHARM_05100 SOPHARM_10000
BINARY InverseOf SOPHARM_05100 SOPHARM_05101
BINARY is SOPHARM_05101 ObjectProperty
BINARY Domain SOPHARM_05101 SOPHARM_10000
BINARY Range SOPHARM_05101 SOPHARM_51000
