BINARY is integer Datatype
BINARY is has_order DataProperty
BINARY is <https Class
BINARY SubClassOf <https Behavioral_self-management
BINARY is Acceptance_and_commitment_therapy Class
BINARY SubClassOf Acceptance_and_commitment_therapy Psychotherapy
BINARY DisjointWith Acceptance_and_commitment_therapy Biofeedback
BINARY is Acupuncture Class
BINARY SubClassOf Acupuncture chinese_medicine
BINARY is Adjust_your_activity_levels Class
BINARY SubClassOf Adjust_your_activity_levels Recommendation_for_fatigue_problems
BINARY is Aerobic Class
BINARY SubClassOf Aerobic Exercise
BINARY DisjointWith Aerobic Aquatic_exercise
BINARY is Ankle-foot_orthosis Class
BINARY SubClassOf Ankle-foot_orthosis Orthotic_devices
BINARY is Aquatic_exercise Class
BINARY SubClassOf Aquatic_exercise Exercise
BINARY DisjointWith Aquatic_exercise Aerobic
BINARY is Assistive_devices Class
BINARY SubClassOf Assistive_devices Non_pharmacological_treatment
BINARY is Awareness_of_the_body_posture Class
BINARY SubClassOf Awareness_of_the_body_posture Recommendation_for_dysarthria
BINARY is Balance_and_coordination Class
BINARY SubClassOf Balance_and_coordination Exercise
BINARY is Behavioral_modifications Class
BINARY SubClassOf Behavioral_modifications Recommendation_for_Urinary_problems
BINARY is Behavioral_self-management Class
BINARY SubClassOf Behavioral_self-management Self_managment
BINARY is Biofeedback Class
BINARY SubClassOf Biofeedback Psychotherapy
BINARY DisjointWith Biofeedback Acceptance_and_commitment_therapy
BINARY is Bladder_retraining Class
BINARY SubClassOf Bladder_retraining Education
BINARY is Braces Class
BINARY SubClassOf Braces Assistive_devices
BINARY is Brain_stimulation Class
BINARY SubClassOf Brain_stimulation Stimulation
BINARY is Brush_your_teeth_and_tongue_thoroughly_twice_a_day Class
BINARY SubClassOf Brush_your_teeth_and_tongue_thoroughly_twice_a_day Recommendation_for_dysphagia
BINARY is CCTV Class
BINARY SubClassOf CCTV Optical_device
BINARY is Cane Class
BINARY SubClassOf Cane Assistive_devices
BINARY is Changing_positions Class
BINARY SubClassOf Changing_positions Minimize_spasticity
BINARY is Checklists_for_complex_tasks Class
BINARY SubClassOf Checklists_for_complex_tasks Recommendation_for_cognitive_problems
BINARY is Cholostomy Class
BINARY SubClassOf Cholostomy Invasive
BINARY is Choosing_sexual_activities_and_positions_that_are_less_physically_demanding_or_weight-bearing Class
BINARY SubClassOf Choosing_sexual_activities_and_positions_that_are_less_physically_demanding_or_weight-bearing Minimize_fatigue
BINARY is Clear_your_throat_and_swallow_again Class
BINARY SubClassOf Clear_your_throat_and_swallow_again Recommendation_for_dysphagia
BINARY is Climbing Class
BINARY SubClassOf Climbing Exercise
BINARY is Cognitive_Behavioral_Therapy Class
BINARY SubClassOf Cognitive_Behavioral_Therapy Psychotherapy
BINARY is Cognitive_rehabilitation Class
BINARY SubClassOf Cognitive_rehabilitation Rehabilitation
BINARY is Complementary_treatment Class
BINARY SubClassOf Complementary_treatment treatment_plan,
BINARY SubClassOf Complementary_treatment has_order_value_2
BINARY is Conducting_selfcatheterization_or_voiding_just_before_sexual_activity Class
BINARY SubClassOf Conducting_selfcatheterization_or_voiding_just_before_sexual_activity Minimize_urinary_problems
BINARY is Continuous_Positive_Airway_Pressure Class
BINARY SubClassOf Continuous_Positive_Airway_Pressure Assistive_devices
BINARY is Cooling_devices Class
BINARY SubClassOf Cooling_devices Assistive_devices
BINARY is Cooling_strategies Class
BINARY SubClassOf Cooling_strategies Thermal_modalities
BINARY is Counseling Class
BINARY SubClassOf Counseling Psychotherapy
BINARY is Creating_a_romantic_mood_and_setting Class
BINARY SubClassOf Creating_a_romantic_mood_and_setting Minimize_Distractibility
BINARY is Cryostimulation Class
BINARY SubClassOf Cryostimulation Stimulation
BINARY is Cycling Class
BINARY SubClassOf Cycling Exercise
BINARY is Deep_brain_stimulation Class
BINARY SubClassOf Deep_brain_stimulation Invasive
BINARY DisjointWith Deep_brain_stimulation Gamma_Knife
BINARY is Deep_transcranial_magnetic_stimulation Class
BINARY SubClassOf Deep_transcranial_magnetic_stimulation Stimulation
BINARY is Dietary_changes_to_increase_acidifying_urine Class
BINARY SubClassOf Dietary_changes_to_increase_acidifying_urine Recommendation_for_Urinary_problems
BINARY is Dietary_recommendation Class
BINARY SubClassOf Dietary_recommendation Recommendations
BINARY is Dietary_supplements Class
BINARY SubClassOf Dietary_supplements Complementary_treatment
BINARY is Digital_stimulation Class
BINARY SubClassOf Digital_stimulation Stimulation
BINARY is Diplopia_surgery Class
BINARY SubClassOf Diplopia_surgery Invasive
BINARY is Double_swallows_may_be_recommended Class
BINARY SubClassOf Double_swallows_may_be_recommended Recommendation_for_dysphagia
BINARY is Drink_cool_liquids Class
BINARY SubClassOf Drink_cool_liquids Recommendation_for_fatigue_problems
BINARY is Drinking_adequate_amounts_of_fluids Class
BINARY SubClassOf Drinking_adequate_amounts_of_fluids Recommendation_for_Bowel_disturbance
BINARY DisjointWith Drinking_adequate_amounts_of_fluids Eating_more_fiber
BINARY is EMG_biofeedback Class
BINARY SubClassOf EMG_biofeedback Rehabilitation
BINARY is ERT Class
BINARY SubClassOf ERT Hormone_replacement_therapy
BINARY is Eat_a_healthy_diet Class
BINARY SubClassOf Eat_a_healthy_diet Recommendation_for_fatigue_problems
BINARY is Eating_more_fiber Class
BINARY SubClassOf Eating_more_fiber Recommendation_for_Bowel_disturbance
BINARY DisjointWith Eating_more_fiber Drinking_adequate_amounts_of_fluids
BINARY is Education Class
BINARY SubClassOf Education Non_pharmacological_treatment
BINARY is Electronic_ergometer Class
BINARY SubClassOf Electronic_ergometer Exercise
BINARY is Energy__Conservation_Course Class
BINARY SubClassOf Energy__Conservation_Course Education
BINARY is Engaging_in_erotic_touching Class
BINARY SubClassOf Engaging_in_erotic_touching Minimize_Distractibility
BINARY is Establish_a_sleep_schedule Class
BINARY SubClassOf Establish_a_sleep_schedule Recommendation_for_fatigue_problems
BINARY is Exercise Class
BINARY SubClassOf Exercise Non_pharmacological_treatment
BINARY is External_Urine_Collection_Devices Class
BINARY SubClassOf External_Urine_Collection_Devices Assistive_devices
BINARY is Eye_muscle_exercises Class
BINARY SubClassOf Eye_muscle_exercises Exercise
BINARY is Facing_the_partner_while_communicating Class
BINARY SubClassOf Facing_the_partner_while_communicating Recommendation_for_dysarthria
BINARY is Family_Therapy Class
BINARY SubClassOf Family_Therapy Psychotherapy
BINARY is Filing_systems Class
BINARY SubClassOf Filing_systems Recommendation_for_cognitive_problems
BINARY is Focused_ultrasound Class
BINARY SubClassOf Focused_ultrasound None_invasive
BINARY is Fresnel Class
BINARY SubClassOf Fresnel Optical_device
BINARY is Functional_dysphagia_therapy Class
BINARY SubClassOf Functional_dysphagia_therapy Procedure
BINARY is Functional_electrical_stimulation Class
BINARY SubClassOf Functional_electrical_stimulation Stimulation
BINARY is Game_therapy Class
BINARY SubClassOf Game_therapy Non_pharmacological_treatment
BINARY is Gamma_Knife Class
BINARY SubClassOf Gamma_Knife Invasive
BINARY DisjointWith Gamma_Knife Deep_brain_stimulation
BINARY is Getting_enough_sleep Class
BINARY SubClassOf Getting_enough_sleep Recommendation_for_cognitive_problems
BINARY is Ginkgo Class
BINARY SubClassOf Ginkgo chinese_medicine
BINARY is Green_tea Class
BINARY SubClassOf Green_tea Dietary_supplements
BINARY is Group_therapy Class
BINARY SubClassOf Group_therapy Psychotherapy
BINARY is Having_enemas Class
BINARY SubClassOf Having_enemas Recommendation_for_Bowel_disturbance
BINARY is Home-based Class
BINARY SubClassOf Home-based Exercise
BINARY is Hormone_replacement_therapy Class
BINARY SubClassOf Hormone_replacement_therapy Non_pharmacological_treatment
BINARY is Hydrotherapy Class
BINARY SubClassOf Hydrotherapy Exercise
BINARY is Hypnosis Class
BINARY SubClassOf Hypnosis Psychotherapy
BINARY is Inflatable Class
BINARY SubClassOf Inflatable Penile_prosthesis
BINARY is Inspiratory_Muscle_Training Class
BINARY SubClassOf Inspiratory_Muscle_Training Exercise
BINARY is Intermittent_Theta_Burst_Stimulation Class
BINARY SubClassOf Intermittent_Theta_Burst_Stimulation Stimulation
BINARY is Invasive Class
BINARY SubClassOf Invasive Surgery
BINARY is Invasive_ventilator Class
BINARY SubClassOf Invasive_ventilator Ventilator
BINARY is Keep_the_chin_parallel_with_the_table Class
BINARY SubClassOf Keep_the_chin_parallel_with_the_table Recommendation_for_dysphagia
BINARY is Kegel Class
BINARY SubClassOf Kegel Exercise
BINARY is Kinect-based_virtual_rehabilitation Class
BINARY SubClassOf Kinect-based_virtual_rehabilitation Rehabilitation
BINARY is Lab_monitoring Class
BINARY SubClassOf Lab_monitoring treatment_plan
BINARY is Lifestyle_modifications Class
BINARY SubClassOf Lifestyle_modifications Recommendation_for_Urinary_problems
BINARY is Limited_evening_fluid_intake Class
BINARY SubClassOf Limited_evening_fluid_intake Recommendation_for_Urinary_problems
BINARY is Liver_function_tests Class
BINARY SubClassOf Liver_function_tests Lab_monitoring
BINARY is Low-Level_Laser_Therapy Class
BINARY SubClassOf Low-Level_Laser_Therapy Non_pharmacological_treatment
BINARY is Magnifier Class
BINARY SubClassOf Magnifier Optical_device
BINARY is Manual_stimulation Class
BINARY SubClassOf Manual_stimulation Stimulation
BINARY is Massage_therapy Class
BINARY SubClassOf Massage_therapy Complementary_treatment
BINARY is Meaning_therapy Class
BINARY SubClassOf Meaning_therapy Psychotherapy
BINARY is Memory_aids Class
BINARY SubClassOf Memory_aids Recommendation_for_cognitive_problems
BINARY is Mental_health_professional Class
BINARY SubClassOf Mental_health_professional Refer_to
BINARY is Microscopic_eyewear Class
BINARY SubClassOf Microscopic_eyewear Optical_device
BINARY is Mind_game_with_puzzles Class
BINARY SubClassOf Mind_game_with_puzzles Game_therapy
BINARY is Mindfulness Class
BINARY SubClassOf Mindfulness Behavioral_self-management
BINARY is Minimize_Distractibility Class
BINARY SubClassOf Minimize_Distractibility Recommendation_for_sexual_dysfunctions
BINARY is Minimize_caffeine_and_tobacco Class
BINARY SubClassOf Minimize_caffeine_and_tobacco Minimize_urinary_problems
BINARY is Minimize_fatigue Class
BINARY SubClassOf Minimize_fatigue Recommendation_for_sexual_dysfunctions
BINARY is Minimize_spasticity Class
BINARY SubClassOf Minimize_spasticity Recommendation_for_sexual_dysfunctions
BINARY is Minimize_urinary_problems Class
BINARY SubClassOf Minimize_urinary_problems Recommendation_for_sexual_dysfunctions
BINARY is Minimize_weakness Class
BINARY SubClassOf Minimize_weakness Recommendation_for_sexual_dysfunctions
BINARY is Motorized_scooters Class
